gadgets,sg,sg (ms),sg+mapping,sgm (ms),do,do (ms),do+mapping,dom (ms),sg-sgm%,sg-do%,do-dom%,sg-dom%,sg-do time%
2,16.9,1.1,11.5,1.2,15.8,2.8,10.4,2.5,-32.0,-6.5,-34.2,-38.5,154.5
4,28.5,1.9,24.2,1.7,26.4,3.6,20.8,3.3,-15.1,-7.4,-21.2,-27.0,89.5
6,39.0,2.5,35.4,2.4,33.5,4.5,29.3,4.0,-9.2,-14.1,-12.5,-24.9,80.0
8,46.4,3.1,43.9,2.9,38.7,4.9,35.7,4.7,-5.4,-16.6,-7.8,-23.1,58.1
10,54.7,3.7,52.4,3.6,45.5,5.9,41.8,5.5,-4.2,-16.8,-8.1,-23.6,59.5
12,63.3,4.4,59.8,4.2,50.9,6.7,47.4,6.1,-5.5,-19.6,-6.9,-25.1,52.3
14,68.5,5.5,66.8,4.8,54.7,7.2,52.5,7.0,-2.5,-20.1,-4.0,-23.4,30.9
16,75.3,5.7,72.4,5.5,59.3,8.1,56.4,7.6,-3.9,-21.2,-4.9,-25.1,42.1
18,80.7,6.2,77.4,6.0,63.0,8.8,59.7,8.3,-4.1,-21.9,-5.2,-26.0,41.9
20,86.9,7.0,83.5,6.8,66.3,9.7,64.2,9.0,-3.9,-23.7,-3.2,-26.1,38.6
22,93.9,7.9,90.7,7.6,70.5,10.5,68.1,10.1,-3.4,-24.9,-3.4,-27.5,32.9
24,99.2,8.8,96.4,8.4,74.3,11.3,72.8,11.3,-2.8,-25.1,-2.0,-26.6,28.4
26,105.0,9.5,99.6,9.0,76.8,12.1,74.7,11.6,-5.1,-26.9,-2.7,-28.9,27.4
28,108.7,10.7,105.7,10.3,79.0,14.6,77.6,13.6,-2.8,-27.3,-1.8,-28.6,36.4
30,114.2,12.1,112.3,11.0,82.8,13.8,81.0,13.7,-1.7,-27.5,-2.2,-29.1,14.0
32,121.0,12.4,117.7,11.9,86.3,15.0,83.0,14.5,-2.7,-28.7,-3.8,-31.4,21.0
34,124.6,13.0,120.5,12.8,88.3,15.3,86.6,15.5,-3.3,-29.1,-1.9,-30.5,17.7
36,128.7,14.6,124.6,13.5,90.9,16.7,89.5,16.4,-3.2,-29.4,-1.5,-30.5,14.4
38,135.3,15.7,131.9,14.8,94.0,18.1,92.9,17.8,-2.5,-30.5,-1.2,-31.3,15.3
40,138.4,16.3,136.0,15.5,96.8,18.3,95.0,18.6,-1.7,-30.1,-1.9,-31.4,12.3
60,190.3,28.6,184.8,27.6,123.3,30.3,121.4,28.9,-2.9,-35.2,-1.5,-36.2,5.9
80,235.1,44.4,229.0,43.5,145.9,42.9,144.2,42.2,-2.6,-37.9,-1.2,-38.7,-3.4
100,278.1,64.2,276.2,63.6,166.4,58.4,164.9,57.8,-0.7,-40.2,-0.9,-40.7,-9.0
120,321.7,84.4,317.8,84.1,185.8,72.6,185.7,74.5,-1.2,-42.2,-0.1,-42.3,-14.0
140,361.0,108.9,357.1,106.9,204.1,90.5,204.2,88.5,-1.1,-43.5,0.0,-43.4,-16.9
160,401.0,137.6,394.0,134.1,221.2,108.4,221.1,109.8,-1.7,-44.8,-0.0,-44.9,-21.2
180,438.5,164.5,432.3,159.9,237.6,125.6,237.2,126.8,-1.4,-45.8,-0.2,-45.9,-23.6
200,474.9,194.0,466.5,189.4,253.7,145.7,252.4,146.1,-1.8,-46.6,-0.5,-46.9,-24.9
