gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1m,m1/m2%,m1m/m2m%,m1m/m2m time%
2,94.3,16.3,79.4,16.9,85.1,15.8,67.1,15.2,-15.8,-21.2,-9.8,-15.5,-10.1
4,162.2,22.8,140.8,23.5,141.8,19.9,127.5,19.7,-13.2,-10.1,-12.6,-9.4,-16.2
6,219.7,29.5,202.1,30.2,196.1,23.9,180.4,23.6,-8.0,-8.0,-10.7,-10.7,-21.9
8,278.6,36.5,262.4,37.7,245.9,27.6,231.5,27.3,-5.8,-5.9,-11.7,-11.8,-27.6
10,313.8,43.4,299.3,43.9,283.6,31.0,270.7,30.9,-4.6,-4.5,-9.6,-9.6,-29.6
12,349.9,50.2,338.2,50.7,315.7,34.3,305.3,33.6,-3.3,-3.3,-9.8,-9.7,-33.7
14,374.8,56.6,363.2,56.9,336.5,38.2,328.1,36.7,-3.1,-2.5,-10.2,-9.7,-35.5
16,403.9,64.3,390.6,64.2,359.0,41.1,353.6,40.7,-3.3,-1.5,-11.1,-9.5,-36.6
18,428.4,71.8,417.0,72.4,382.7,45.1,377.1,44.4,-2.7,-1.5,-10.7,-9.6,-38.7
20,451.7,81.8,442.6,82.0,400.1,49.7,400.0,49.8,-2.0,-0.0,-11.4,-9.6,-39.3
22,474.5,88.1,465.1,87.5,416.6,53.3,415.7,52.4,-2.0,-0.2,-12.2,-10.6,-40.1
24,494.4,96.3,483.4,95.4,433.5,57.0,432.6,55.7,-2.2,-0.2,-12.3,-10.5,-41.6
26,514.9,106.5,503.8,107.7,450.3,63.6,447.8,61.5,-2.2,-0.6,-12.5,-11.1,-42.9
28,536.9,117.5,526.2,116.9,465.3,68.4,465.4,68.5,-2.0,0.0,-13.3,-11.6,-41.4
30,561.0,126.5,546.5,126.5,481.3,74.6,482.6,72.0,-2.6,0.3,-14.2,-11.7,-43.1
32,581.6,131.3,568.4,131.1,497.3,76.5,499.5,75.5,-2.3,0.4,-14.5,-12.1,-42.4
34,601.2,151.1,588.1,149.2,514.2,85.5,514.4,84.3,-2.2,0.0,-14.5,-12.5,-43.5
36,620.8,182.8,610.3,184.0,529.3,108.6,531.5,105.0,-1.7,0.4,-14.7,-12.9,-42.9
38,646.0,202.8,631.0,204.1,546.2,115.7,550.4,113.9,-2.3,0.8,-15.4,-12.8,-44.2
40,666.4,182.9,648.7,182.8,560.8,104.8,561.8,103.6,-2.7,0.2,-15.8,-13.4,-43.3
60,880.6,312.3,862.0,308.9,719.7,181.2,728.3,180.4,-2.1,1.2,-18.3,-15.5,-41.6
80,1087.7,491.6,1065.6,487.1,870.7,288.5,879.5,288.0,-2.0,1.0,-20.0,-17.5,-40.9
100,1297.4,662.9,1270.4,658.0,1026.9,402.3,1036.6,400.4,-2.1,0.9,-20.8,-18.4,-39.1
120,1512.5,908.7,1479.5,904.0,1178.2,549.4,1199.0,556.6,-2.2,1.8,-22.1,-19.0,-38.4
140,1719.1,1148.6,1681.1,1134.9,1328.7,700.0,1348.2,700.5,-2.2,1.5,-22.7,-19.8,-38.3
160,1930.8,1545.0,1890.6,1532.1,1477.1,944.1,1502.6,944.7,-2.1,1.7,-23.5,-20.5,-38.3
180,2145.2,1968.7,2102.6,1941.5,1626.4,1192.1,1651.5,1196.8,-2.0,1.5,-24.2,-21.5,-38.4
200,2350.0,2425.8,2301.7,2398.0,1772.0,1469.5,1804.1,1478.4,-2.1,1.8,-24.6,-21.6,-38.3
300,3390.9,5416.8,3334.9,5361.8,2499.5,3150.7,2543.3,3165.3,-1.7,1.8,-26.3,-23.7,-41.0
400,4434.8,9474.6,4343.4,9317.2,3205.4,5217.0,3263.5,5224.6,-2.1,1.8,-27.7,-24.9,-43.9
500,5473.3,15798.6,5344.3,15499.0,3900.9,8183.0,3961.5,8227.2,-2.4,1.6,-28.7,-25.9,-46.9
600,6476.8,21594.9,6357.6,21265.9,4583.6,10646.1,4661.6,10684.0,-1.8,1.7,-29.2,-26.7,-49.8
700,7506.2,29575.3,7353.6,29064.2,5251.6,13778.9,5343.1,13842.7,-2.0,1.7,-30.0,-27.3,-52.4
