gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1%,m1/m2%,m1m/m2m%,m1m/m2m time%
2,58.6,16.3,53.1,16.9,58.4,15.8,47.2,15.2,-9.4,-19.2,-0.3,-11.1,-10.1
4,91.7,22.8,85.2,23.5,88.3,19.9,81.4,19.7,-7.1,-7.8,-3.7,-4.5,-16.2
6,114.9,29.5,109.9,30.2,113.3,23.9,106.8,23.6,-4.4,-5.7,-1.4,-2.8,-21.9
8,133.2,36.5,131.9,37.7,134.8,27.6,128.6,27.3,-1.0,-4.6,1.2,-2.5,-27.6
10,142.9,43.4,142.4,43.9,148.8,31.0,143.2,30.9,-0.3,-3.8,4.1,0.6,-29.6
12,154.0,50.2,154.1,50.7,162.4,34.3,157.3,33.6,0.1,-3.1,5.5,2.1,-33.7
14,162.3,56.6,162.7,56.9,170.6,38.2,165.9,36.7,0.2,-2.8,5.1,2.0,-35.5
16,171.0,64.3,171.4,64.2,182.4,41.1,177.3,40.7,0.2,-2.8,6.7,3.4,-36.6
18,178.3,71.8,178.8,72.4,192.1,45.1,188.5,44.4,0.3,-1.9,7.7,5.4,-38.7
20,186.7,81.8,186.7,82.0,198.9,49.7,197.7,49.8,0.0,-0.6,6.5,5.9,-39.3
22,193.7,88.1,194.8,87.5,208.9,53.3,206.6,52.4,0.6,-1.1,7.8,6.1,-40.1
24,201.0,96.3,201.7,95.4,216.2,57.0,214.3,55.7,0.3,-0.9,7.6,6.2,-41.6
26,207.9,106.5,208.3,107.7,224.8,63.6,222.5,61.5,0.2,-1.0,8.1,6.8,-42.9
28,214.8,117.5,216.5,116.9,233.1,68.4,230.5,68.5,0.8,-1.1,8.5,6.5,-41.4
30,221.9,126.5,222.8,126.5,241.0,74.6,239.1,72.0,0.4,-0.8,8.6,7.3,-43.1
32,229.5,131.3,230.5,131.1,249.8,76.5,249.4,75.5,0.4,-0.2,8.8,8.2,-42.4
34,235.0,151.1,236.8,149.2,257.9,85.5,255.8,84.3,0.8,-0.8,9.7,8.0,-43.5
36,242.7,182.8,243.7,184.0,265.5,108.6,262.4,105.0,0.4,-1.2,9.4,7.7,-42.9
38,250.7,202.8,251.5,204.1,275.0,115.7,274.4,113.9,0.3,-0.2,9.7,9.1,-44.2
40,257.7,182.9,257.9,182.8,282.4,104.8,280.2,103.6,0.1,-0.8,9.6,8.6,-43.3
60,327.8,312.3,331.5,308.9,364.4,181.2,364.2,180.4,1.1,-0.1,11.2,9.9,-41.6
80,398.9,491.6,398.5,487.1,445.2,288.5,442.1,288.0,-0.1,-0.7,11.6,10.9,-40.9
100,469.9,662.9,472.4,658.0,525.8,402.3,525.5,400.4,0.5,-0.1,11.9,11.2,-39.1
120,538.1,908.7,544.3,904.0,606.1,549.4,608.7,556.6,1.2,0.4,12.6,11.8,-38.4
140,607.3,1148.6,613.0,1134.9,684.6,700.0,686.8,700.5,0.9,0.3,12.7,12.0,-38.3
160,684.9,1545.0,687.5,1532.1,766.9,944.1,768.6,944.7,0.4,0.2,12.0,11.8,-38.3
180,754.3,1968.7,758.3,1941.5,847.6,1192.1,850.3,1196.8,0.5,0.3,12.4,12.1,-38.4
200,827.2,2425.8,828.2,2398.0,923.8,1469.5,929.7,1478.4,0.1,0.6,11.7,12.3,-38.3
300,1187.5,5416.8,1184.4,5361.8,1320.4,3150.7,1324.7,3165.3,-0.3,0.3,11.2,11.8,-41.0
400,1538.6,9474.6,1536.3,9317.2,1705.0,5217.0,1715.4,5224.6,-0.1,0.6,10.8,11.7,-43.9
500,1892.8,15798.6,1896.8,15499.0,2093.8,8183.0,2098.3,8227.2,0.2,0.2,10.6,10.6,-46.9
600,2242.0,21594.9,2255.3,21265.9,2472.7,10646.1,2479.9,10684.0,0.6,0.3,10.3,10.0,-49.8
700,2593.5,29575.3,2601.6,29064.2,2848.1,13778.9,2854.0,13842.7,0.3,0.2,9.8,9.7,-52.4
