gadgets,sg,sg (ms),sg+mapping,sgm (ms),do,do (ms),do+mapping,dom (ms),sg-sgm%,sg-do%,do-dom%,sg-do time%
2,12.7,2.2,13.2,2.3,13.8,3.3,12.1,3.0,3.9,8.7,-12.3,50.0
4,23.5,2.9,22.8,2.8,25.5,4.0,19.9,3.6,-3.0,8.5,-22.0,37.9
6,29.3,3.4,30.1,3.4,32.9,4.6,25.9,4.0,2.7,12.3,-21.3,35.3
8,38.1,4.3,36.8,3.8,41.7,5.3,31.4,4.6,-3.4,9.4,-24.7,23.3
10,43.0,4.6,41.7,4.2,47.5,5.9,35.0,5.0,-3.0,10.5,-26.3,28.3
12,47.5,5.1,45.7,4.6,50.9,6.3,39.0,5.6,-3.8,7.2,-23.4,23.5
14,53.6,5.9,50.6,5.3,56.7,7.0,42.5,6.1,-5.6,5.8,-25.0,18.6
16,57.7,7.2,54.1,6.8,61.2,9.1,44.7,7.4,-6.2,6.1,-27.0,26.4
18,62.6,9.5,57.5,8.1,65.2,10.9,46.8,9.3,-8.1,4.2,-28.2,14.7
20,70.8,10.3,61.7,9.0,71.5,11.7,50.1,10.3,-12.9,1.0,-29.9,13.6
22,71.4,9.6,65.3,8.3,73.8,10.8,52.5,9.1,-8.5,3.4,-28.9,12.5
24,73.7,9.9,67.5,9.1,77.2,11.2,54.3,9.6,-8.4,4.7,-29.7,13.1
26,78.1,9.7,71.1,9.0,81.1,11.1,55.8,9.3,-9.0,3.8,-31.2,14.4
28,83.6,11.3,74.2,9.9,79.8,12.3,58.2,10.3,-11.2,-4.5,-27.1,8.8
30,86.4,11.4,77.8,10.5,85.2,12.1,60.1,10.2,-10.0,-1.4,-29.5,6.1
32,91.0,15.0,80.5,13.6,86.4,16.2,62.4,14.0,-11.5,-5.1,-27.8,8.0
34,92.8,16.3,83.1,14.3,88.6,17.2,63.7,14.8,-10.5,-4.5,-28.1,5.5
36,94.7,13.7,86.5,12.3,91.6,14.1,65.8,12.1,-8.7,-3.3,-28.2,2.9
38,100.0,16.0,89.0,14.0,94.0,16.0,67.7,13.4,-11.0,-6.0,-28.0,0.0
40,102.7,15.0,92.4,13.4,96.7,15.0,70.1,13.4,-10.0,-5.8,-27.5,0.0
60,140.3,25.2,119.4,21.8,118.9,22.5,85.1,18.9,-14.9,-15.3,-28.4,-10.7
80,168.3,36.3,143.6,31.8,132.4,29.7,98.0,25.0,-14.7,-21.3,-26.0,-18.2
100,199.0,51.8,167.9,44.0,150.2,39.0,111.0,34.5,-15.6,-24.5,-26.1,-24.7
120,218.9,82.3,190.1,72.6,157.3,59.7,121.2,51.5,-13.2,-28.1,-22.9,-27.5
140,243.2,113.9,207.2,99.4,169.5,79.0,130.4,67.8,-14.8,-30.3,-23.1,-30.6
160,270.7,130.3,228.8,111.5,181.3,85.5,140.2,73.0,-15.5,-33.0,-22.7,-34.4
180,290.3,113.8,247.8,99.3,187.4,71.7,146.6,61.7,-14.6,-35.4,-21.8,-37.0
200,308.1,132.3,263.9,115.2,194.0,80.4,155.6,70.7,-14.3,-37.0,-19.8,-39.2
