gadgets,sg,sg (ms),sg+mapping,sgm (ms),do,do (ms),do+mapping,dom (ms),sg-sgm%,sg-do%,do-dom%,sg-do time%
2,23.5,3.0,19.0,2.8,24.9,3.8,17.4,3.5,-19.1,6.0,-30.1,26.7
4,48.7,4.4,45.8,4.4,47.7,5.0,36.7,4.6,-6.0,-2.1,-23.1,13.6
6,75.2,5.8,70.8,5.7,71.2,6.2,59.1,5.9,-5.9,-5.3,-17.0,6.9
8,92.8,7.3,89.8,7.1,85.2,7.2,77.0,7.0,-3.2,-8.2,-9.6,-1.4
10,107.8,8.8,105.2,8.8,99.1,8.3,92.8,7.9,-2.4,-8.1,-6.4,-5.7
12,121.2,10.6,118.1,10.3,109.9,9.8,103.8,9.3,-2.6,-9.3,-5.6,-7.5
14,131.3,12.0,130.0,11.7,119.1,10.7,114.6,10.2,-1.0,-9.3,-3.8,-10.8
16,143.4,13.5,141.4,13.0,129.5,11.7,123.4,11.1,-1.4,-9.7,-4.7,-13.3
18,155.5,15.4,154.4,15.5,138.6,13.0,134.5,12.8,-0.7,-10.9,-3.0,-15.6
20,162.9,17.0,162.5,16.8,145.1,14.7,140.8,14.3,-0.2,-10.9,-3.0,-13.5
22,173.9,18.6,173.4,18.6,152.9,15.8,149.0,15.1,-0.3,-12.1,-2.6,-15.1
24,184.5,21.1,182.0,20.7,159.7,17.1,156.3,16.4,-1.4,-13.4,-2.1,-19.0
26,194.5,22.7,191.1,22.9,167.3,18.7,163.5,18.0,-1.7,-14.0,-2.3,-17.6
28,206.1,25.2,204.1,25.4,176.1,20.4,172.6,19.6,-1.0,-14.6,-2.0,-19.0
30,218.1,28.7,216.5,28.5,184.8,23.0,181.5,22.3,-0.7,-15.3,-1.8,-19.9
32,223.3,29.4,223.1,29.5,189.9,23.7,187.8,23.0,-0.1,-15.0,-1.1,-19.4
34,233.1,32.9,231.8,32.5,197.3,25.8,193.7,25.4,-0.6,-15.4,-1.8,-21.6
36,245.5,37.3,246.4,37.2,207.0,29.3,202.8,28.2,0.4,-15.7,-2.0,-21.4
38,254.2,40.1,251.5,39.8,213.2,31.5,208.7,31.0,-1.1,-16.1,-2.1,-21.4
40,264.4,42.8,262.2,42.9,219.9,33.4,216.4,32.5,-0.8,-16.8,-1.6,-22.0
60,357.6,75.0,356.0,75.4,288.6,55.8,285.5,55.1,-0.4,-19.3,-1.1,-25.6
80,450.0,115.0,448.7,114.6,351.3,80.5,350.8,80.7,-0.3,-21.9,-0.1,-30.0
100,537.7,167.5,541.4,167.9,413.7,115.8,410.0,114.4,0.7,-23.1,-0.9,-30.9
120,629.5,229.2,628.9,228.5,471.9,152.6,470.3,152.1,-0.1,-25.0,-0.3,-33.4
140,727.3,309.6,723.6,309.5,532.4,198.9,532.5,198.2,-0.5,-26.8,0.0,-35.8
160,808.7,393.3,810.7,392.5,587.7,248.0,585.0,245.8,0.2,-27.3,-0.5,-36.9
180,895.1,486.4,896.1,487.3,636.3,298.7,636.0,298.1,0.1,-28.9,-0.0,-38.6
200,984.0,650.3,982.9,648.1,692.7,394.0,691.5,393.0,-0.1,-29.6,-0.2,-39.4
