gadgets,sg,sg (ms),sg+mapping,sgm (ms),do,do (ms),do+mapping,dom (ms),sg-sgm%,sg-do%,do-dom%,sg-do time%
2,62.4,10.0,34.0,10.0,68.5,9.0,33.7,9.0,-45.5,9.8,-50.8,-10.0
4,106.7,14.3,72.5,13.7,130.5,12.6,73.4,11.4,-32.1,22.3,-43.8,-11.9
6,154.3,19.4,114.8,17.5,172.3,14.8,120.2,14.1,-25.6,11.7,-30.2,-23.7
8,217.1,23.5,176.8,22.4,222.9,17.3,171.7,16.8,-18.6,2.7,-23.0,-26.4
10,261.3,27.4,225.6,26.3,257.8,19.1,214.5,19.1,-13.7,-1.3,-16.8,-30.3
12,305.2,32.9,285.9,32.5,295.0,22.9,259.8,22.0,-6.3,-3.3,-11.9,-30.4
14,337.4,36.9,312.0,35.9,324.1,25.7,293.6,23.2,-7.5,-3.9,-9.4,-30.4
16,380.3,40.0,358.8,38.9,360.0,26.3,326.0,24.7,-5.7,-5.3,-9.4,-34.2
18,406.5,43.3,384.9,41.5,386.5,28.2,349.2,26.6,-5.3,-4.9,-9.7,-34.9
20,442.7,49.2,421.9,46.8,412.9,31.0,383.9,29.4,-4.7,-6.7,-7.0,-37.0
22,468.9,53.4,445.8,52.3,433.2,33.4,408.8,31.5,-4.9,-7.6,-5.6,-37.5
24,491.3,59.6,475.2,57.8,452.3,36.4,434.0,35.0,-3.3,-7.9,-4.0,-38.9
26,515.6,66.0,503.0,64.7,475.1,39.9,457.9,39.1,-2.4,-7.9,-3.6,-39.5
28,540.0,70.7,521.9,68.8,492.4,42.6,474.8,40.6,-3.4,-8.8,-3.6,-39.7
30,568.1,78.2,555.7,76.5,518.5,46.3,501.0,45.3,-2.2,-8.7,-3.4,-40.8
32,592.2,84.5,576.2,82.8,535.4,50.3,518.8,49.3,-2.7,-9.6,-3.1,-40.5
34,613.4,89.1,594.9,87.0,551.7,53.5,534.2,50.8,-3.0,-10.1,-3.2,-40.0
36,638.0,96.2,616.8,93.1,570.9,57.4,552.2,54.0,-3.3,-10.5,-3.3,-40.3
38,655.3,101.9,639.0,100.0,588.0,61.0,572.2,58.4,-2.5,-10.3,-2.7,-40.1
40,676.2,109.1,661.1,106.8,604.2,63.8,582.9,61.5,-2.2,-10.6,-3.5,-41.5
60,899.8,192.5,882.8,190.5,779.9,114.4,764.7,110.5,-1.9,-13.3,-1.9,-40.6
80,1109.9,298.0,1086.2,293.2,950.1,179.4,930.2,173.8,-2.1,-14.4,-2.1,-39.8
100,1320.0,428.3,1297.1,422.9,1115.2,256.9,1096.0,252.4,-1.7,-15.5,-1.7,-40.0
120,1533.6,585.8,1511.0,578.8,1287.4,356.1,1268.4,347.3,-1.5,-16.1,-1.5,-39.2
140,1736.3,764.8,1709.2,755.7,1447.2,462.7,1430.2,452.6,-1.6,-16.7,-1.2,-39.5
160,1958.0,978.3,1924.4,964.3,1619.1,595.1,1601.2,582.1,-1.7,-17.3,-1.1,-39.2
180,2160.8,1212.4,2132.0,1200.0,1779.4,735.4,1764.3,722.0,-1.3,-17.7,-0.8,-39.3
200,2369.8,1470.6,2342.5,1458.6,1940.2,887.7,1927.7,875.2,-1.2,-18.1,-0.6,-39.6
