gadgets,sg,sg (ms),sg+mapping,sgm (ms),do,do (ms),do+mapping,dom (ms),sg-sgm%,sg-do%,do-dom%,sg-do time%
2,54.0,8.7,25.2,8.7,59.6,7.9,25.7,8.0,-53.3,10.4,-56.9,-9.2
4,84.0,11.4,47.3,10.4,106.5,10.1,47.2,9.3,-43.7,26.8,-55.7,-11.4
6,105.9,13.8,64.6,12.0,136.0,11.8,63.9,10.3,-39.0,28.4,-53.0,-14.5
8,127.3,16.2,82.9,13.1,162.5,13.5,82.6,11.4,-34.9,27.7,-49.2,-16.7
10,148.8,18.7,98.1,14.8,181.4,15.2,95.0,13.0,-34.1,21.9,-47.6,-18.7
12,162.0,20.7,109.8,16.3,197.1,16.7,104.7,13.9,-32.2,21.7,-46.9,-19.3
14,178.9,23.3,119.9,17.7,217.7,19.0,114.7,15.2,-33.0,21.7,-47.3,-18.5
16,193.6,25.5,132.9,19.4,234.9,21.0,126.9,16.1,-31.4,21.3,-46.0,-17.6
18,207.2,28.2,144.4,21.6,253.6,22.2,131.9,17.4,-30.3,22.4,-48.0,-21.3
20,219.6,30.9,155.8,23.4,273.5,24.3,145.7,19.4,-29.1,24.5,-46.7,-21.4
22,231.9,32.9,166.4,25.2,283.5,26.6,151.4,20.3,-28.2,22.3,-46.6,-19.1
24,249.3,36.6,176.7,28.3,290.4,28.2,161.1,22.0,-29.1,16.5,-44.5,-23.0
26,260.6,39.5,186.2,29.7,310.2,30.6,167.3,23.1,-28.5,19.0,-46.1,-22.5
28,272.4,42.1,194.8,32.0,314.6,33.0,175.7,25.0,-28.5,15.5,-44.2,-21.6
30,287.9,45.7,205.5,34.9,325.3,35.0,181.8,26.5,-28.6,13.0,-44.1,-23.4
32,296.8,48.3,215.3,37.0,338.4,36.5,189.8,27.9,-27.5,14.0,-43.9,-24.4
34,308.0,51.6,225.9,39.9,348.3,39.5,196.7,29.8,-26.7,13.1,-43.5,-23.4
36,323.8,56.3,236.3,43.5,360.2,41.9,203.7,32.2,-27.0,11.2,-43.4,-25.6
38,338.4,59.6,244.3,45.7,367.5,44.8,207.5,33.2,-27.8,8.6,-43.5,-24.8
40,342.9,63.0,252.8,48.5,382.3,47.0,213.7,34.6,-26.3,11.5,-44.1,-25.4
60,457.9,106.1,344.0,84.3,468.0,75.8,276.8,55.9,-24.9,2.2,-40.9,-28.6
80,569.0,165.7,436.3,133.2,551.8,111.7,331.8,81.9,-23.3,-3.0,-39.9,-32.6
100,672.9,234.8,518.5,191.0,633.3,155.5,386.5,112.7,-22.9,-5.9,-39.0,-33.8
120,775.3,314.0,605.9,261.3,705.6,203.1,436.7,148.4,-21.8,-9.0,-38.1,-35.3
140,875.1,420.6,682.7,345.3,789.1,270.5,485.5,189.1,-22.0,-9.8,-38.5,-35.7
160,967.5,515.9,764.0,434.2,832.9,318.4,529.8,231.6,-21.0,-13.9,-36.4,-38.3
180,1070.0,634.6,845.8,535.9,878.0,377.0,579.8,279.8,-21.0,-17.9,-34.0,-40.6
200,1165.8,772.7,925.4,652.0,925.1,438.6,622.5,331.0,-20.6,-20.6,-32.7,-43.2
