gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1m,m1/m2%,m1m/m2m%,m1m/m2m time%
2,89.0,9.7,66.7,8.5,99.2,8.0,69.3,6.9,-25.1,-30.1,11.5,3.9,-18.8
4,157.1,13.0,109.5,11.6,160.8,10.8,108.6,9.6,-30.3,-32.5,2.4,-0.8,-17.2
6,218.5,16.2,175.7,15.8,220.6,13.7,174.0,12.2,-19.6,-21.1,1.0,-1.0,-22.8
8,270.6,19.9,236.8,19.0,280.0,16.3,235.7,16.1,-12.5,-15.8,3.5,-0.5,-15.3
10,315.3,22.7,279.7,21.3,319.4,19.2,281.0,17.8,-11.3,-12.0,1.3,0.5,-16.4
12,358.4,26.0,327.0,24.9,352.9,22.2,324.8,20.8,-8.8,-8.0,-1.5,-0.7,-16.5
14,384.0,28.6,360.8,27.4,382.7,24.9,355.4,24.1,-6.0,-7.1,-0.3,-1.5,-12.0
16,413.0,31.7,395.1,31.0,411.0,27.6,386.0,25.7,-4.3,-6.1,-0.5,-2.3,-17.1
18,437.7,35.0,418.1,33.4,433.2,30.8,412.3,28.7,-4.5,-4.8,-1.0,-1.4,-14.1
20,463.4,39.3,446.6,37.8,459.2,35.1,439.8,33.0,-3.6,-4.2,-0.9,-1.5,-12.7
22,479.8,42.1,467.6,41.4,480.5,37.6,461.6,36.0,-2.5,-3.9,0.1,-1.3,-13.0
24,504.9,46.5,491.0,45.1,500.2,41.4,486.4,39.2,-2.8,-2.8,-0.9,-0.9,-13.1
26,524.8,51.1,512.2,49.5,521.6,45.2,505.5,43.4,-2.4,-3.1,-0.6,-1.3,-12.3
28,543.7,54.2,530.0,52.8,540.5,48.4,524.5,46.5,-2.5,-3.0,-0.6,-1.0,-11.9
30,561.1,60.4,548.6,58.6,559.6,54.4,543.2,52.2,-2.2,-2.9,-0.3,-1.0,-10.9
32,583.9,63.2,570.2,61.7,580.5,57.6,564.3,55.1,-2.3,-2.8,-0.6,-1.0,-10.7
34,603.4,68.0,590.9,66.2,600.0,64.6,583.5,60.3,-2.1,-2.7,-0.6,-1.3,-8.9
36,622.4,72.8,608.3,71.3,616.9,67.3,603.7,65.8,-2.3,-2.1,-0.9,-0.8,-7.7
38,641.7,78.5,628.6,75.4,636.5,71.4,622.5,68.2,-2.0,-2.2,-0.8,-1.0,-9.5
40,660.7,83.4,648.0,80.6,656.0,76.6,640.9,74.0,-1.9,-2.3,-0.7,-1.1,-8.2
60,854.1,149.2,844.4,146.5,844.3,141.9,832.6,137.1,-1.1,-1.4,-1.1,-1.4,-6.4
80,1039.8,239.2,1026.0,235.3,1024.1,233.4,1009.5,226.1,-1.3,-1.4,-1.5,-1.6,-3.9
100,1225.7,326.2,1214.1,320.5,1204.3,322.2,1189.3,315.0,-0.9,-1.2,-1.7,-2.0,-1.7
120,1416.0,443.9,1403.3,436.9,1387.2,447.2,1375.4,436.7,-0.9,-0.9,-2.0,-2.0,-0.0
140,1599.1,583.4,1585.9,573.3,1564.8,587.4,1548.6,574.5,-0.8,-1.0,-2.1,-2.4,0.2
160,1777.6,792.0,1765.8,778.3,1740.1,802.4,1724.3,786.9,-0.7,-0.9,-2.1,-2.4,1.1
