gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1m,m1/m2%,m1m/m2m%,m1m/m2m time%
50,762.2,201.0,722.2,193.8,636.6,125.2,562.6,110.0,-5.2,-11.6,-16.5,-22.1,-43.2
100,1315.8,599.4,1257.2,587.0,1050.6,387.0,956.4,342.6,-4.5,-9.0,-20.2,-23.9,-41.6
150,1810.6,1208.6,1706.8,1143.0,1369.8,712.6,1293.4,663.0,-5.7,-5.6,-24.3,-24.2,-42.0
200,2408.6,2186.0,2249.0,2035.2,1875.4,1343.2,1673.8,1210.0,-6.6,-10.7,-22.1,-25.6,-40.5
250,2912.8,3206.6,2674.6,3008.8,2158.6,1883.6,1969.8,1759.6,-8.2,-8.7,-25.9,-26.4,-41.5
300,3349.2,4715.6,3201.0,4515.8,2480.2,2567.8,2304.4,2359.4,-4.4,-7.1,-25.9,-28.0,-47.8
350,3772.8,7148.2,3663.0,6387.2,2900.4,3677.0,2621.4,3432.2,-2.9,-9.6,-23.1,-28.4,-46.3
400,4295.6,9641.0,4150.8,9416.8,3278.4,5398.4,2907.4,5124.6,-3.4,-11.3,-23.7,-30.0,-45.6
450,4793.2,14528.2,4710.6,14513.6,3589.4,7671.6,3282.8,7241.4,-1.7,-8.5,-25.1,-30.3,-50.1
500,5379.8,15051.2,5148.6,14359.8,3821.2,7341.6,3590.2,6815.4,-4.3,-6.0,-29.0,-30.3,-52.5
550,5963.2,19014.2,5574.0,17954.0,4097.6,8580.4,3877.8,8316.2,-6.5,-5.4,-31.3,-30.4,-53.7
600,6365.4,22880.8,6154.6,21673.6,4419.8,10072.6,4261.0,9619.4,-3.3,-3.6,-30.6,-30.8,-55.6
650,7092.4,27828.0,6596.2,25772.8,4866.0,12207.0,4448.8,11531.8,-7.0,-8.6,-31.4,-32.6,-55.3
700,7399.8,28098.8,7073.6,27333.4,5375.6,12674.0,4809.0,11313.2,-4.4,-10.5,-27.4,-32.0,-58.6
750,7873.6,34612.2,7594.2,32487.4,5287.2,13698.6,5082.2,13446.6,-3.5,-3.9,-32.8,-33.1,-58.6
800,8287.4,37068.0,8039.0,36624.4,5918.4,16173.0,5416.0,14762.6,-3.0,-8.5,-28.6,-32.6,-59.7
850,9346.0,48801.0,8456.8,45018.6,5964.4,17604.8,5733.6,17261.8,-9.5,-3.9,-36.2,-32.2,-61.7
900,9541.2,51756.8,8852.2,47924.4,6271.6,18943.4,5905.8,17658.2,-7.2,-5.8,-34.3,-33.3,-63.2
950,9716.4,56395.8,9448.6,55437.4,6640.4,20938.4,6265.0,19576.2,-2.8,-5.7,-31.7,-33.7,-64.7
1000,10518.4,68903.4,10075.4,63735.0,6988.2,23179.2,6611.2,22153.0,-4.2,-5.4,-33.6,-34.4,-65.2
1050,10748.4,75378.4,10385.2,75303.6,7239.2,29941.0,6850.6,25982.8,-3.4,-5.4,-32.6,-34.0,-65.5
1100,11282.4,77704.6,10733.8,72925.0,7238.0,24897.6,7086.8,24813.0,-4.9,-2.1,-35.8,-34.0,-66.0
1150,11867.6,85847.2,11254.2,81279.8,7898.0,28910.2,7319.4,26898.4,-5.2,-7.3,-33.4,-35.0,-66.9
1200,12366.0,100314.2,11797.8,98987.8,8331.2,34048.6,7625.6,31102.4,-4.6,-8.5,-32.6,-35.4,-68.6
1250,13138.6,114532.8,12196.4,110210.0,8223.8,35010.0,7887.8,33234.2,-7.2,-4.1,-37.4,-35.3,-69.8
1300,13563.8,132068.2,12856.2,121062.2,8561.0,38214.2,8225.6,36557.6,-5.2,-3.9,-36.9,-36.0,-69.8
1350,14155.8,143155.2,13148.4,133314.8,8976.0,41433.0,8502.0,40411.8,-7.1,-5.3,-36.6,-35.3,-69.7
1400,13947.0,150445.6,13526.6,152804.0,9450.8,46030.0,8800.6,44235.4,-3.0,-6.9,-32.2,-34.9,-71.1
1450,14517.8,169696.8,14057.2,157916.6,9309.4,47444.0,9079.4,47860.2,-3.2,-2.5,-35.9,-35.4,-69.7
1500,15270.0,183193.4,14549.6,166971.0,9787.6,50533.2,9270.4,47682.2,-4.7,-5.3,-35.9,-36.3,-71.4
