gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1%,m1/m2%,m1m/m2m%,m1m/m2m time%
50,256.4,201.0,268.2,193.8,340.2,125.2,298.8,110.0,4.6,-12.2,32.7,11.4,-43.2
100,434.0,599.4,493.6,587.0,538.8,387.0,503.0,342.6,13.7,-6.6,24.1,1.9,-41.6
150,620.8,1208.6,630.0,1143.0,739.4,712.6,713.8,663.0,1.5,-3.5,19.1,13.3,-42.0
200,745.6,2186.0,872.4,2035.2,1013.2,1343.2,895.4,1210.0,17.0,-11.6,35.9,2.6,-40.5
250,890.4,3206.6,946.0,3008.8,1151.6,1883.6,1081.6,1759.6,6.2,-6.1,29.3,14.3,-41.5
300,1097.4,4715.6,1165.2,4515.8,1310.0,2567.8,1248.8,2359.4,6.2,-4.7,19.4,7.2,-47.8
350,1195.6,7148.2,1361.6,6387.2,1565.4,3677.0,1412.0,3432.2,13.9,-9.8,30.9,3.7,-46.3
400,1398.4,9641.0,1440.8,9416.8,1770.8,5398.4,1600.0,5124.6,3.0,-9.6,26.6,11.0,-45.6
450,1439.4,14528.2,1751.4,14513.6,1929.6,7671.6,1819.4,7241.4,21.7,-5.7,34.1,3.9,-50.1
500,1840.0,15051.2,1809.6,14359.8,2074.4,7341.6,1975.0,6815.4,-1.7,-4.8,12.7,9.1,-52.5
550,1942.4,19014.2,2032.6,17954.0,2254.0,8580.4,2116.2,8316.2,4.6,-6.1,16.0,4.1,-53.7
600,1938.8,22880.8,2391.2,21673.6,2411.0,10072.6,2359.0,9619.4,23.3,-2.2,24.4,-1.3,-55.6
650,2127.8,27828.0,2580.6,25772.8,2681.2,12207.0,2468.2,11531.8,21.3,-7.9,26.0,-4.4,-55.3
700,2334.0,28098.8,2655.4,27333.4,2932.0,12674.0,2638.2,11313.2,13.8,-10.0,25.6,-0.6,-58.6
750,2387.4,34612.2,2949.2,32487.4,2862.2,13698.6,2844.8,13446.6,23.5,-0.6,19.9,-3.5,-58.6
800,2607.8,37068.0,2945.8,36624.4,3299.2,16173.0,3010.6,14762.6,13.0,-8.7,26.5,2.2,-59.7
850,2962.4,48801.0,3154.6,45018.6,3257.0,17604.8,3190.6,17261.8,6.5,-2.0,9.9,1.1,-61.7
900,2877.0,51756.8,3458.4,47924.4,3423.2,18943.4,3230.8,17658.2,20.2,-5.6,19.0,-6.6,-63.2
950,3085.0,56395.8,3494.6,55437.4,3671.6,20938.4,3467.0,19576.2,13.3,-5.6,19.0,-0.8,-64.7
1000,3336.8,68903.4,3689.2,63735.0,3787.0,23179.2,3682.0,22153.0,10.6,-2.8,13.5,-0.2,-65.2
1050,3466.0,75378.4,4031.8,75303.6,3961.8,29941.0,3805.2,25982.8,16.3,-4.0,14.3,-5.6,-65.5
1100,3930.8,77704.6,4062.0,72925.0,4003.6,24897.6,3852.8,24813.0,3.3,-3.8,1.9,-5.2,-66.0
1150,3628.8,85847.2,4124.4,81279.8,4363.8,28910.2,4046.6,26898.4,13.7,-7.3,20.3,-1.9,-66.9
1200,3957.6,100314.2,4551.4,98987.8,4522.4,34048.6,4202.4,31102.4,15.0,-7.1,14.3,-7.7,-68.6
1250,3986.2,114532.8,4685.0,110210.0,4562.8,35010.0,4409.2,33234.2,17.5,-3.4,14.5,-5.9,-69.8
1300,4399.2,132068.2,4665.8,121062.2,4711.8,38214.2,4539.6,36557.6,6.1,-3.7,7.1,-2.7,-69.8
1350,4175.6,143155.2,5096.6,133314.8,4935.4,41433.0,4691.4,40411.8,22.1,-4.9,18.2,-8.0,-69.7
1400,4400.6,150445.6,4853.0,152804.0,5080.6,46030.0,4856.8,44235.4,10.3,-4.4,15.5,0.1,-71.1
1450,4604.4,169696.8,5366.0,157916.6,5082.6,47444.0,5041.8,47860.2,16.5,-0.8,10.4,-6.0,-69.7
1500,4976.6,183193.4,5411.6,166971.0,5361.4,50533.2,5149.8,47682.2,8.7,-3.9,7.7,-4.8,-71.4
