gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1m,m1/m2%,m1m/m2m%,m1m/m2m time%
2,122.7,12.6,73.4,11.9,120.4,13.4,95.1,12.1,-40.2,-21.0,-1.9,29.6,1.7
4,197.3,18.3,144.7,16.6,175.6,16.8,151.3,15.7,-26.7,-13.8,-11.0,4.6,-5.4
6,258.7,23.7,221.1,22.4,222.6,19.8,203.1,19.7,-14.5,-8.8,-14.0,-8.1,-12.1
8,311.5,29.0,275.9,28.3,265.0,23.6,244.3,22.2,-11.4,-7.8,-14.9,-11.5,-21.6
10,362.3,34.8,330.4,34.2,310.3,26.2,289.0,25.5,-8.8,-6.9,-14.4,-12.5,-25.4
12,399.9,40.3,375.7,39.2,347.2,30.3,322.0,28.5,-6.1,-7.3,-13.2,-14.3,-27.3
14,437.3,46.9,416.1,45.7,378.2,32.8,359.6,32.4,-4.8,-4.9,-13.5,-13.6,-29.1
16,464.8,53.0,450.5,51.1,408.1,36.4,391.7,34.9,-3.1,-4.0,-12.2,-13.1,-31.7
18,494.6,58.2,483.3,58.0,437.3,39.3,420.0,38.1,-2.3,-4.0,-11.6,-13.1,-34.3
20,526.9,64.0,512.2,62.5,461.5,42.4,448.4,42.0,-2.8,-2.8,-12.4,-12.5,-32.8
22,546.5,69.7,535.2,67.8,480.3,45.3,465.9,43.9,-2.1,-3.0,-12.1,-12.9,-35.3
24,576.7,77.2,564.0,75.3,503.8,49.8,491.3,48.4,-2.2,-2.5,-12.6,-12.9,-35.7
26,601.4,83.8,589.3,81.8,523.2,54.0,511.6,52.0,-2.0,-2.2,-13.0,-13.2,-36.4
28,626.1,90.9,616.9,90.0,546.1,57.8,531.8,56.9,-1.5,-2.6,-12.8,-13.8,-36.8
30,651.6,98.6,644.0,97.3,563.3,62.2,554.2,61.2,-1.2,-1.6,-13.6,-13.9,-37.1
32,676.4,105.4,665.5,104.2,582.0,66.6,570.3,65.8,-1.6,-2.0,-14.0,-14.3,-36.9
34,700.0,118.0,689.8,115.8,601.1,73.6,588.1,70.5,-1.5,-2.2,-14.1,-14.7,-39.1
36,727.2,135.6,713.5,133.3,620.1,85.5,609.4,82.2,-1.9,-1.7,-14.7,-14.6,-38.3
38,751.5,153.5,741.0,152.2,640.2,95.2,627.2,91.6,-1.4,-2.0,-14.8,-15.4,-39.8
40,776.7,160.0,764.6,156.2,661.8,98.4,649.4,95.2,-1.6,-1.9,-14.8,-15.1,-39.1
60,1026.8,277.3,1013.6,274.5,849.3,175.5,837.0,167.0,-1.3,-1.4,-17.3,-17.4,-39.2
80,1278.2,411.6,1262.4,406.1,1037.4,258.8,1025.0,252.2,-1.2,-1.2,-18.8,-18.8,-37.9
100,1523.1,614.1,1504.9,607.1,1217.9,387.8,1202.9,381.8,-1.2,-1.2,-20.0,-20.1,-37.1
120,1768.3,875.5,1749.6,920.7,1399.6,545.6,1388.0,545.6,-1.1,-0.8,-20.9,-20.7,-40.7
140,2015.8,1191.7,1998.4,1182.5,1582.6,756.4,1564.6,744.2,-0.9,-1.1,-21.5,-21.7,-37.1
160,2262.4,1571.8,2245.0,1560.3,1758.7,985.1,1746.3,985.3,-0.8,-0.7,-22.3,-22.2,-36.9
180,2501.4,2095.7,2482.9,2088.8,1930.9,1307.3,1922.5,1304.9,-0.7,-0.4,-22.8,-22.6,-37.5
200,2749.3,2409.8,2723.4,2387.8,2111.1,1509.1,2094.4,1488.5,-0.9,-0.8,-23.2,-23.1,-37.7
300,3973.0,5419.4,3927.6,5361.8,2975.4,3221.8,2958.2,3189.6,-1.1,-0.6,-25.1,-24.7,-40.5
400,5150.5,10411.3,5114.2,10308.8,3817.2,5827.2,3788.1,5757.8,-0.7,-0.8,-25.9,-25.9,-44.1
500,6370.8,16644.4,6318.8,16487.9,4644.7,8731.4,4630.9,8707.3,-0.8,-0.3,-27.1,-26.7,-47.2
600,7553.3,24131.1,7498.4,23922.6,5458.5,11953.9,5446.0,11957.6,-0.7,-0.2,-27.7,-27.4,-50.0
700,8727.2,31955.5,8669.6,31646.3,6253.6,14979.8,6232.2,14945.6,-0.7,-0.3,-28.3,-28.1,-52.8
