gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1%,m1/m2%,m1m/m2m%,m1m/m2m time%
2,64.6,12.6,44.5,11.9,71.9,13.4,58.6,12.1,-31.1,-18.5,11.3,31.7,1.7
4,97.8,18.3,80.2,16.6,98.7,16.8,87.4,15.7,-18.0,-11.4,0.9,9.0,-5.4
6,121.0,23.7,111.3,22.4,121.1,19.8,111.2,19.7,-8.0,-8.2,0.1,-0.1,-12.1
8,137.8,29.0,131.3,28.3,141.3,23.6,128.5,22.2,-4.7,-9.1,2.5,-2.1,-21.6
10,151.7,34.8,149.2,34.2,158.6,26.2,149.3,25.5,-1.6,-5.9,4.5,0.1,-25.4
12,164.4,40.3,162.3,39.2,174.5,30.3,163.0,28.5,-1.3,-6.6,6.1,0.4,-27.3
14,177.0,46.9,175.0,45.7,188.8,32.8,180.1,32.4,-1.1,-4.6,6.7,2.9,-29.1
16,183.4,53.0,184.7,51.1,203.1,36.4,194.5,34.9,0.7,-4.2,10.7,5.3,-31.7
18,192.1,58.2,192.8,58.0,214.7,39.3,206.9,38.1,0.4,-3.6,11.8,7.3,-34.3
20,202.0,64.0,201.2,62.5,228.3,42.4,220.0,42.0,-0.4,-3.6,13.0,9.3,-32.8
22,207.2,69.7,208.8,67.8,238.0,45.3,230.4,43.9,0.8,-3.2,14.9,10.3,-35.3
24,217.9,77.2,217.4,75.3,249.5,49.8,241.3,48.4,-0.2,-3.3,14.5,11.0,-35.7
26,222.8,83.8,226.3,81.8,257.9,54.0,251.1,52.0,1.6,-2.6,15.8,11.0,-36.4
28,228.3,90.9,233.2,90.0,270.9,57.8,263.7,56.9,2.1,-2.7,18.7,13.1,-36.8
30,239.5,98.6,240.9,97.3,279.8,62.2,275.5,61.2,0.6,-1.5,16.8,14.4,-37.1
32,246.6,105.4,249.1,104.2,289.8,66.6,281.6,65.8,1.0,-2.8,17.5,13.0,-36.9
34,254.3,118.0,253.2,115.8,299.8,73.6,294.7,70.5,-0.4,-1.7,17.9,16.4,-39.1
36,259.2,135.6,260.9,133.3,311.2,85.5,302.7,82.2,0.7,-2.7,20.1,16.0,-38.3
38,267.7,153.5,266.2,152.2,322.7,95.2,314.4,91.6,-0.6,-2.6,20.5,18.1,-39.8
40,272.6,160.0,276.3,156.2,331.7,98.4,323.7,95.2,1.4,-2.4,21.7,17.2,-39.1
60,347.4,277.3,350.2,274.5,433.1,175.5,423.7,167.0,0.8,-2.2,24.7,21.0,-39.2
80,417.0,411.6,423.9,406.1,533.2,258.8,524.7,252.2,1.7,-1.6,27.9,23.8,-37.9
100,488.7,614.1,494.2,607.1,630.3,387.8,617.8,381.8,1.1,-2.0,29.0,25.0,-37.1
120,560.8,875.5,569.1,920.7,728.4,545.6,717.6,545.6,1.5,-1.5,29.9,26.1,-40.7
140,631.9,1191.7,634.2,1182.5,827.6,756.4,813.3,744.2,0.4,-1.7,31.0,28.2,-37.1
160,710.4,1571.8,717.8,1560.3,921.6,985.1,912.2,985.3,1.0,-1.0,29.7,27.1,-36.9
180,784.2,2095.7,793.6,2088.8,1015.2,1307.3,1004.8,1304.9,1.2,-1.0,29.5,26.6,-37.5
200,842.7,2409.8,861.4,2387.8,1112.2,1509.1,1098.1,1488.5,2.2,-1.3,32.0,27.5,-37.7
300,1200.6,5419.4,1225.3,5361.8,1580.1,3221.8,1567.2,3189.6,2.1,-0.8,31.6,27.9,-40.5
400,1536.5,10411.3,1573.0,10308.8,2044.6,5827.2,2013.3,5757.8,2.4,-1.5,33.1,28.0,-44.1
500,1898.8,16644.4,1931.9,16487.9,2487.4,8731.4,2464.5,8707.3,1.7,-0.9,31.0,27.6,-47.2
600,2231.7,24131.1,2297.6,23922.6,2934.2,11953.9,2906.6,11957.6,3.0,-0.9,31.5,26.5,-50.0
700,2571.6,31955.5,2660.3,31646.3,3366.7,14979.8,3345.3,14945.6,3.4,-0.6,30.9,25.7,-52.8
