gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1%,m1/m2%,m1m/m2m%,m1m/m2m time%
2,52.1,9.7,42.0,8.5,59.8,8.0,42.9,6.9,-19.4,-28.3,14.8,2.1,-18.8
4,87.8,13.0,65.7,11.6,91.7,10.8,66.1,9.6,-25.2,-27.9,4.4,0.6,-17.2
6,115.8,16.2,96.4,15.8,117.5,13.7,96.2,12.2,-16.8,-18.1,1.5,-0.2,-22.8
8,138.3,19.9,125.1,19.0,143.1,16.3,123.7,16.1,-9.5,-13.6,3.5,-1.1,-15.3
10,159.0,22.7,142.1,21.3,159.8,19.2,142.6,17.8,-10.6,-10.8,0.5,0.4,-16.4
12,176.5,26.0,164.1,24.9,175.5,22.2,163.4,20.8,-7.0,-6.9,-0.6,-0.4,-16.5
14,188.0,28.6,177.9,27.4,191.4,24.9,177.3,24.1,-5.4,-7.4,1.8,-0.3,-12.0
16,202.0,31.7,194.5,31.0,203.0,27.6,190.5,25.7,-3.7,-6.2,0.5,-2.1,-17.1
18,213.7,35.0,206.0,33.4,213.8,30.8,204.8,28.7,-3.6,-4.2,0.0,-0.6,-14.1
20,224.8,39.3,219.4,37.8,227.4,35.1,218.6,33.0,-2.4,-3.9,1.2,-0.4,-12.7
22,234.9,42.1,228.7,41.4,237.5,37.6,229.4,36.0,-2.6,-3.4,1.1,0.3,-13.0
24,245.5,46.5,240.9,45.1,249.0,41.4,240.0,39.2,-1.9,-3.6,1.4,-0.4,-13.1
26,257.1,51.1,250.1,49.5,258.9,45.2,249.7,43.4,-2.7,-3.6,0.7,-0.2,-12.3
28,263.8,54.2,260.4,52.8,268.5,48.4,262.6,46.5,-1.3,-2.2,1.8,0.8,-11.9
30,274.6,60.4,270.5,58.6,278.4,54.4,270.3,52.2,-1.5,-2.9,1.4,-0.1,-10.9
32,286.7,63.2,280.3,61.7,289.5,57.6,280.4,55.1,-2.2,-3.1,1.0,0.0,-10.7
34,296.5,68.0,291.7,66.2,301.2,64.6,290.9,60.3,-1.6,-3.4,1.6,-0.3,-8.9
36,306.6,72.8,300.8,71.3,309.1,67.3,301.5,65.8,-1.9,-2.5,0.8,0.2,-7.7
38,318.0,78.5,309.6,75.4,319.2,71.4,311.2,68.2,-2.6,-2.5,0.4,0.5,-9.5
40,325.6,83.4,318.4,80.6,330.8,76.6,322.1,74.0,-2.2,-2.6,1.6,1.2,-8.2
60,424.3,149.2,417.8,146.5,432.4,141.9,423.7,137.1,-1.5,-2.0,1.9,1.4,-6.4
80,514.9,239.2,512.2,235.3,529.2,233.4,518.7,226.1,-0.5,-2.0,2.8,1.3,-3.9
100,613.4,326.2,605.0,320.5,626.1,322.2,616.4,315.0,-1.4,-1.5,2.1,1.9,-1.7
120,709.8,443.9,701.6,436.9,725.4,447.2,713.8,436.7,-1.2,-1.6,2.2,1.7,-0.0
140,798.9,583.4,796.9,573.3,819.2,587.4,804.8,574.5,-0.3,-1.8,2.5,1.0,0.2
160,889.6,792.0,884.7,778.3,913.8,802.4,903.0,786.9,-0.6,-1.2,2.7,2.1,1.1
