gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1m,m1/m2%,m1m/m2m%,m1m/m2m time%
2,106.4,12.4,68.2,11.0,136.4,15.0,80.5,12.4,-35.9,-41.0,28.2,18.0,12.7
4,163.5,18.7,123.2,16.2,204.5,19.9,156.3,16.9,-24.6,-23.6,25.1,26.9,4.3
6,213.9,24.7,178.1,21.5,257.8,23.6,216.8,20.8,-16.7,-15.9,20.5,21.7,-3.3
8,266.9,30.8,234.9,28.6,310.7,27.6,265.4,24.9,-12.0,-14.6,16.4,13.0,-12.9
10,317.8,37.3,284.8,34.7,349.6,31.1,307.2,28.3,-10.4,-12.1,10.0,7.9,-18.4
12,367.1,45.1,336.8,41.9,383.1,35.4,347.9,32.4,-8.3,-9.2,4.4,3.3,-22.7
14,411.9,52.1,380.3,47.6,414.0,37.8,378.6,35.6,-7.7,-8.6,0.5,-0.4,-25.2
16,452.7,57.6,426.2,54.8,443.0,42.9,416.0,40.4,-5.9,-6.1,-2.1,-2.4,-26.3
18,494.7,66.9,464.4,62.5,471.0,45.9,442.8,44.2,-6.1,-6.0,-4.8,-4.7,-29.3
20,534.7,75.3,499.8,70.9,496.2,51.4,470.3,49.5,-6.5,-5.2,-7.2,-5.9,-30.2
22,567.5,88.5,539.6,84.2,521.1,60.5,493.9,55.8,-4.9,-5.2,-8.2,-8.5,-33.7
24,600.2,100.6,569.0,97.2,543.1,67.4,519.7,63.1,-5.2,-4.3,-9.5,-8.7,-35.1
26,629.7,108.0,599.2,102.9,567.3,71.7,542.3,68.5,-4.8,-4.4,-9.9,-9.5,-33.4
28,657.1,106.1,631.5,102.9,585.0,70.0,565.6,65.2,-3.9,-3.3,-11.0,-10.4,-36.6
30,688.7,117.3,655.1,111.3,607.8,76.7,586.4,71.4,-4.9,-3.5,-11.7,-10.5,-35.8
32,721.0,138.3,688.7,132.2,630.8,87.8,612.4,84.2,-4.5,-2.9,-12.5,-11.1,-36.3
34,748.9,124.4,718.2,118.0,653.6,77.2,633.0,75.1,-4.1,-3.2,-12.7,-11.9,-36.4
36,775.3,128.6,747.3,123.3,672.8,82.5,652.9,77.9,-3.6,-3.0,-13.2,-12.6,-36.8
38,807.0,136.6,772.9,132.5,694.1,86.3,676.3,85.0,-4.2,-2.6,-14.0,-12.5,-35.8
40,832.9,149.6,805.0,143.1,715.1,94.4,696.6,90.6,-3.3,-2.6,-14.1,-13.5,-36.7
60,1116.9,259.4,1090.7,254.2,930.2,164.8,911.8,157.9,-2.3,-2.0,-16.7,-16.4,-37.9
80,1381.6,392.9,1354.9,385.0,1130.9,250.6,1112.9,243.1,-1.9,-1.6,-18.1,-17.9,-36.9
100,1647.0,569.3,1617.1,557.3,1331.0,358.5,1312.3,348.3,-1.8,-1.4,-19.2,-18.8,-37.5
120,1921.5,853.0,1894.3,852.5,1534.7,530.1,1519.4,514.3,-1.4,-1.0,-20.1,-19.8,-39.7
140,2185.1,1154.5,2152.7,1132.8,1729.7,723.1,1711.7,708.3,-1.5,-1.0,-20.8,-20.5,-37.5
160,2447.9,1341.3,2411.4,1322.9,1929.8,845.5,1904.9,825.4,-1.5,-1.3,-21.2,-21.0,-37.6
180,2711.4,1564.7,2678.1,1542.1,2120.3,976.4,2099.2,957.1,-1.2,-1.0,-21.8,-21.6,-37.9
200,2971.4,1914.6,2935.8,1886.3,2309.3,1186.3,2290.5,1165.5,-1.2,-0.8,-22.3,-22.0,-38.2
300,4281.2,4324.6,4238.0,4268.4,3252.9,2538.4,3230.1,2504.8,-1.0,-0.7,-24.0,-23.8,-41.3
400,5556.4,8353.9,5501.6,8232.0,4143.9,4494.8,4129.2,4462.0,-1.0,-0.4,-25.4,-24.9,-45.8
500,6845.8,12423.7,6795.1,12326.6,5045.1,6388.4,5032.4,6333.6,-0.7,-0.3,-26.3,-25.9,-48.6
600,8098.0,18552.9,8032.8,18296.4,5896.4,8809.7,5884.2,8798.1,-0.8,-0.2,-27.2,-26.7,-51.9
700,9369.9,26233.8,9300.5,25928.4,6757.5,11766.7,6743.3,11729.4,-0.7,-0.2,-27.9,-27.5,-54.8
800,10625.7,35654.5,10565.9,35161.7,7598.4,15002.7,7596.9,15011.1,-0.6,-0.0,-28.5,-28.1,-57.3
900,11846.5,56529.4,11773.9,55946.6,8400.0,22637.6,8377.6,22579.9,-0.6,-0.3,-29.1,-28.8,-59.6
