gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1m,m1/m2%,m1m/m2m%,m1m/m2m time%
2,101.4,12.2,28.4,5.8,114.8,13.4,31.5,4.6,-72.0,-72.6,13.2,10.9,-20.7
4,140.4,16.7,54.2,7.9,158.7,16.8,56.4,6.3,-61.4,-64.5,13.0,4.1,-20.3
6,179.8,21.0,82.8,10.1,194.6,19.8,82.2,8.1,-53.9,-57.8,8.2,-0.7,-19.8
8,204.3,27.1,107.7,13.5,220.1,23.6,102.5,10.6,-47.3,-53.4,7.7,-4.8,-21.5
10,235.5,31.5,130.8,16.2,247.9,26.0,117.3,11.9,-44.5,-52.7,5.3,-10.3,-26.5
12,258.6,38.2,155.4,20.2,260.7,29.8,136.8,14.5,-39.9,-47.5,0.8,-12.0,-28.2
14,276.4,41.8,171.7,22.0,283.7,32.1,150.9,16.4,-37.9,-46.8,2.6,-12.1,-25.5
16,296.4,50.8,190.5,26.5,297.5,38.0,161.4,18.2,-35.7,-45.7,0.4,-15.3,-31.3
18,322.4,60.2,208.6,32.5,322.7,43.6,175.2,21.4,-35.3,-45.7,0.1,-16.0,-34.2
20,336.6,58.5,221.7,32.5,332.3,41.8,185.9,21.3,-34.1,-44.1,-1.3,-16.1,-34.5
22,361.8,62.6,238.6,35.1,350.1,43.6,196.6,23.2,-34.1,-43.8,-3.2,-17.6,-33.9
24,376.6,66.0,251.0,37.3,366.1,44.8,206.6,23.8,-33.4,-43.6,-2.8,-17.7,-36.2
