gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1%,m1/m2%,m1m/m2m%,m1m/m2m time%
2,53.1,12.2,19.7,5.8,64.6,13.4,23.1,4.6,-62.9,-64.2,21.7,17.3,-20.7
4,65.0,16.7,33.6,7.9,83.6,16.8,37.0,6.3,-48.3,-55.7,28.6,10.1,-20.3
6,76.9,21.0,47.2,10.1,101.8,19.8,51.1,8.1,-38.6,-49.8,32.4,8.3,-19.8
8,84.2,27.1,59.0,13.5,113.5,23.6,62.4,10.6,-29.9,-45.0,34.8,5.8,-21.5
10,93.6,31.5,68.1,16.2,125.4,26.0,70.6,11.9,-27.2,-43.7,34.0,3.7,-26.5
12,100.7,38.2,76.6,20.2,132.7,29.8,82.0,14.5,-23.9,-38.2,31.8,7.0,-28.2
14,105.4,41.8,84.0,22.0,145.0,32.1,88.8,16.4,-20.3,-38.8,37.6,5.7,-25.5
16,112.6,50.8,91.4,26.5,151.2,38.0,95.4,18.2,-18.8,-36.9,34.3,4.4,-31.3
18,118.3,60.2,98.5,32.5,163.9,43.6,102.6,21.4,-16.7,-37.4,38.5,4.2,-34.2
20,124.2,58.5,102.8,32.5,168.3,41.8,109.0,21.3,-17.2,-35.2,35.5,6.0,-34.5
22,129.9,62.6,109.4,35.1,177.5,43.6,112.9,23.2,-15.8,-36.4,36.6,3.2,-33.9
24,134.8,66.0,114.4,37.3,186.2,44.8,119.3,23.8,-15.1,-35.9,38.1,4.3,-36.2
