gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1%,m1/m2%,m1m/m2m%,m1m/m2m time%
2,57.9,12.4,41.1,11.0,73.4,15.0,49.4,12.4,-29.0,-32.7,26.8,20.2,12.7
4,81.2,18.7,66.8,16.2,104.2,19.9,83.8,16.9,-17.7,-19.6,28.3,25.4,4.3
6,96.7,24.7,85.7,21.5,127.5,23.6,107.7,20.8,-11.4,-15.5,31.9,25.7,-3.3
8,112.8,30.8,103.2,28.6,151.8,27.6,132.6,24.9,-8.5,-12.6,34.6,28.5,-12.9
10,124.8,37.3,116.1,34.7,170.9,31.1,149.5,28.3,-7.0,-12.5,36.9,28.8,-18.4
12,136.6,45.1,130.3,41.9,186.6,35.4,169.6,32.4,-4.6,-9.1,36.6,30.2,-22.7
14,149.1,52.1,140.9,47.6,200.4,37.8,186.9,35.6,-5.5,-6.7,34.4,32.6,-25.2
16,159.6,57.6,153.8,54.8,216.0,42.9,205.5,40.4,-3.6,-4.9,35.3,33.6,-26.3
18,170.1,66.9,163.4,62.5,228.6,45.9,217.9,44.2,-3.9,-4.7,34.4,33.4,-29.3
20,180.3,75.3,172.2,70.9,242.1,51.4,232.8,49.5,-4.5,-3.8,34.3,35.2,-30.2
22,186.3,88.5,180.9,84.2,255.3,60.5,243.4,55.8,-2.9,-4.7,37.0,34.5,-33.7
24,194.7,100.6,188.6,97.2,265.8,67.4,252.5,63.1,-3.1,-5.0,36.5,33.9,-35.1
26,201.5,108.0,196.3,102.9,279.4,71.7,269.0,68.5,-2.6,-3.7,38.7,37.0,-33.4
28,208.1,106.1,202.3,102.9,289.4,70.0,279.9,65.2,-2.8,-3.3,39.1,38.4,-36.6
30,214.4,117.3,207.5,111.3,299.6,76.7,289.6,71.4,-3.2,-3.3,39.7,39.6,-35.8
32,222.3,138.3,216.1,132.2,315.2,87.8,303.1,84.2,-2.8,-3.8,41.8,40.3,-36.3
34,227.6,124.4,221.4,118.0,324.9,77.2,313.9,75.1,-2.7,-3.4,42.8,41.8,-36.4
36,233.6,128.6,229.6,123.3,334.1,82.5,326.1,77.9,-1.7,-2.4,43.0,42.0,-36.8
38,240.5,136.6,234.7,132.5,346.5,86.3,334.5,85.0,-2.4,-3.5,44.1,42.5,-35.8
40,245.9,149.6,241.9,143.1,357.3,94.4,350.5,90.6,-1.6,-1.9,45.3,44.9,-36.7
60,308.0,259.4,303.5,254.2,470.4,164.8,460.6,157.9,-1.5,-2.1,52.7,51.8,-37.9
80,364.0,392.9,361.2,385.0,579.9,250.6,567.1,243.1,-0.8,-2.2,59.3,57.0,-36.9
100,419.8,569.3,419.2,557.3,682.9,358.5,676.4,348.3,-0.1,-1.0,62.7,61.4,-37.5
120,481.7,853.0,480.8,852.5,794.1,530.1,788.8,514.3,-0.2,-0.7,64.9,64.1,-39.7
140,540.2,1154.5,538.9,1132.8,898.0,723.1,892.2,708.3,-0.2,-0.6,66.2,65.6,-37.5
160,598.7,1341.3,595.9,1322.9,1010.2,845.5,995.7,825.4,-0.5,-1.4,68.7,67.1,-37.6
180,657.5,1564.7,655.0,1542.1,1112.5,976.4,1097.5,957.1,-0.4,-1.3,69.2,67.6,-37.9
200,715.2,1914.6,714.2,1886.3,1215.8,1186.3,1201.8,1165.5,-0.1,-1.2,70.0,68.3,-38.2
300,1007.9,4324.6,1008.8,4268.4,1717.8,2538.4,1711.3,2504.8,0.1,-0.4,70.4,69.6,-41.3
400,1299.7,8353.9,1299.9,8232.0,2195.3,4494.8,2187.2,4462.0,0.0,-0.4,68.9,68.3,-45.8
500,1593.8,12423.7,1594.1,12326.6,2674.9,6388.4,2668.4,6333.6,0.0,-0.2,67.8,67.4,-48.6
600,1885.4,18552.9,1887.3,18296.4,3125.0,8809.7,3112.2,8798.1,0.1,-0.4,65.7,64.9,-51.9
700,2182.3,26233.8,2179.4,25928.4,3571.7,11766.7,3558.3,11729.4,-0.1,-0.4,63.7,63.3,-54.8
800,2477.2,35654.5,2474.9,35161.7,4004.1,15002.7,4013.7,15011.1,-0.1,0.2,61.6,62.2,-57.3
900,2762.2,56529.4,2762.6,55946.6,4418.9,22637.6,4413.3,22579.9,0.0,-0.1,60.0,59.8,-59.6
