gadgets,sg,sg (ms),sg+mapping,sgm (ms),do,do (ms),do+mapping,dom (ms),sg-sgm%,sg-do%,do-dom%,sg-do time%
2,16.4,1.1,13.5,1.0,16.2,2.5,12.2,2.4,-17.7,-1.2,-24.7,127.3
4,28.8,1.8,25.1,1.7,25.8,3.1,21.8,2.9,-12.8,-10.4,-15.5,72.2
6,38.8,2.5,35.4,2.3,34.0,3.9,29.8,3.4,-8.8,-12.4,-12.4,56.0
8,47.3,3.0,45.3,3.0,41.2,4.3,37.1,4.0,-4.2,-12.9,-10.0,43.3
10,55.3,3.9,51.8,3.5,46.2,4.8,42.9,4.6,-6.3,-16.5,-7.1,23.1
12,61.8,4.4,59.4,4.3,52.2,5.5,48.4,5.4,-3.9,-15.5,-7.3,25.0
14,68.3,5.1,66.1,5.0,57.2,6.0,54.2,5.7,-3.2,-16.3,-5.2,17.6
16,75.0,5.6,72.0,5.4,61.0,6.5,58.1,6.4,-4.0,-18.7,-4.8,16.1
18,81.4,6.5,79.1,6.4,66.0,7.2,63.4,7.4,-2.8,-18.9,-3.9,10.8
20,88.6,7.4,85.8,7.3,71.4,8.1,68.7,8.0,-3.2,-19.4,-3.8,9.5
22,93.5,8.2,91.3,8.1,74.1,9.0,72.4,8.4,-2.4,-20.7,-2.3,9.8
24,98.2,9.0,94.9,8.8,76.9,9.4,74.2,9.6,-3.4,-21.7,-3.5,4.4
26,103.7,9.9,101.9,9.6,81.8,9.9,79.0,9.8,-1.7,-21.1,-3.4,0.0
28,110.6,11.0,108.2,11.0,85.2,11.4,82.8,10.5,-2.2,-23.0,-2.8,3.6
30,115.3,12.3,112.3,12.0,87.9,11.9,85.9,12.2,-2.6,-23.8,-2.3,-3.3
32,120.0,12.8,118.5,12.7,91.1,12.6,88.7,12.5,-1.2,-24.1,-2.6,-1.6
34,125.4,13.3,121.5,13.3,94.5,12.8,92.5,13.1,-3.1,-24.6,-2.1,-3.8
36,130.5,14.5,129.3,14.5,97.8,13.9,96.0,14.1,-0.9,-25.1,-1.8,-4.1
38,135.4,16.0,134.7,15.9,101.8,15.1,100.0,14.8,-0.5,-24.8,-1.8,-5.6
40,142.1,16.9,140.5,16.7,105.4,15.9,103.2,15.3,-1.1,-25.8,-2.1,-5.9
60,189.6,31.0,188.1,30.5,134.6,25.6,132.4,25.3,-0.8,-29.0,-1.6,-17.4
80,236.2,47.3,234.1,46.4,159.8,36.3,157.6,35.6,-0.9,-32.3,-1.4,-23.3
100,278.7,67.5,277.4,67.4,183.1,48.9,180.7,48.8,-0.5,-34.3,-1.3,-27.6
120,320.0,90.7,317.9,91.1,205.9,62.5,204.0,62.5,-0.7,-35.7,-0.9,-31.1
140,362.3,117.8,358.4,116.1,227.0,77.6,224.3,76.4,-1.1,-37.3,-1.2,-34.1
160,398.4,146.7,396.2,146.1,245.0,92.5,243.1,92.4,-0.6,-38.5,-0.8,-36.9
180,438.6,183.2,436.4,181.3,264.7,110.6,263.0,109.7,-0.5,-39.6,-0.6,-39.6
200,474.4,216.9,473.3,216.7,283.3,127.7,280.1,128.2,-0.2,-40.3,-1.1,-41.1
