gadgets,sg (ms),sg,sgm (ms),sg+mapping,do (ms),do,dom (ms),do+mapping,sg-sgm%,sg-do%,do-dom%,sg-do time%
2,27.1,5.4,32.0,4.4,19.4,4.0,24.2,3.4,-18.5,-25.9,-15.0,-28.4
4,28.9,11.7,34.1,10.4,20.6,8.4,25.4,7.2,-11.1,-28.2,-14.3,-28.7
6,30.2,17.5,35.0,16.1,21.3,12.2,26.2,11.1,-8.0,-30.3,-9.0,-29.5
8,31.5,22.3,36.0,21.4,22.2,15.7,27.3,14.8,-4.0,-29.6,-5.7,-29.5
10,31.9,27.5,37.2,25.5,22.8,18.5,27.9,17.6,-7.3,-32.7,-4.9,-28.5
12,33.4,32.6,38.6,31.6,23.9,22.7,28.8,21.5,-3.1,-30.4,-5.3,-28.4
14,34.6,38.7,39.7,37.1,24.7,26.1,30.0,25.6,-4.1,-32.6,-1.9,-28.6
16,36.1,42.7,40.5,40.6,25.7,28.6,30.3,27.5,-4.9,-33.0,-3.8,-28.8
18,37.3,47.9,42.2,46.0,26.3,32.3,31.4,31.1,-4.0,-32.6,-3.7,-29.5
20,38.5,52.3,43.3,50.8,27.7,34.9,32.0,33.9,-2.9,-33.3,-2.9,-28.1
22,40.2,57.4,44.9,55.7,28.4,38.1,33.1,37.1,-3.0,-33.6,-2.6,-29.4
24,41.8,62.5,46.6,61.0,29.1,41.9,35.0,41.0,-2.4,-33.0,-2.1,-30.4
26,43.5,67.0,48.0,65.0,30.2,44.0,35.3,43.3,-3.0,-34.3,-1.6,-30.6
28,45.2,72.1,49.8,69.4,31.2,47.2,36.2,46.6,-3.7,-34.5,-1.3,-31.0
30,47.4,77.0,52.0,74.9,32.4,50.4,37.5,49.4,-2.7,-34.5,-2.0,-31.6
32,49.8,80.7,54.1,79.2,33.9,54.0,39.2,51.6,-1.9,-33.1,-4.4,-31.9
34,52.1,86.0,57.3,84.2,35.5,56.5,40.4,55.5,-2.1,-34.3,-1.8,-31.9
36,53.5,89.6,58.3,86.6,36.8,58.1,40.5,56.9,-3.3,-35.2,-2.1,-31.2
38,55.8,95.5,60.6,93.1,37.7,62.2,42.0,60.9,-2.5,-34.9,-2.1,-32.4
40,57.8,99.0,62.0,96.8,37.8,64.4,43.2,64.1,-2.2,-34.9,-0.5,-34.6
60,83.5,142.4,88.2,140.5,49.9,89.1,55.3,88.6,-1.3,-37.4,-0.6,-40.2
80,118.7,184.5,123.5,181.1,66.4,112.0,70.8,111.0,-1.8,-39.3,-0.9,-44.1
100,159.3,226.0,162.6,221.5,81.3,132.9,86.2,132.5,-2.0,-41.2,-0.3,-49.0
120,199.1,262.3,202.2,260.5,95.6,153.2,100.8,151.5,-0.7,-41.6,-1.1,-52.0
140,257.5,300.9,256.1,295.9,117.6,171.6,126.8,170.2,-1.7,-43.0,-0.8,-54.3
160,306.6,335.7,309.3,330.4,133.1,189.1,137.7,187.3,-1.6,-43.7,-1.0,-56.6
180,361.5,370.1,360.6,361.8,150.8,203.0,156.6,204.3,-2.2,-45.1,0.6,-58.3
200,441.3,402.5,439.9,398.9,176.3,220.6,182.8,217.9,-0.9,-45.2,-1.2,-60.0
