gadgets,sg,sg (ms),sg+mapping,sgm (ms),do,do (ms),do+mapping,dom (ms),sg-sgm%,sg-do%,do-dom%,sg-do time%
2,9.8,0.8,8.8,1.0,9.4,2.1,8.3,2.1,-10.2,-4.1,-11.7,162.5
4,17.7,1.1,16.3,1.1,15.9,2.6,14.2,2.5,-7.9,-10.2,-10.7,136.4
6,23.8,1.6,22.5,1.6,20.1,3.0,19.0,2.9,-5.5,-15.5,-5.5,87.5
8,29.4,2.2,28.8,1.9,24.6,3.4,24.0,3.3,-2.0,-16.3,-2.4,54.5
10,34.9,2.6,34.3,2.6,28.5,4.0,28.2,4.0,-1.7,-18.3,-1.1,53.8
12,38.8,2.9,37.8,3.0,31.7,4.2,30.5,4.2,-2.6,-18.3,-3.8,44.8
14,43.3,3.2,43.0,3.1,34.2,4.5,33.7,4.7,-0.7,-21.0,-1.5,40.6
16,46.9,4.0,47.0,3.8,36.0,5.2,36.3,5.1,0.2,-23.2,0.8,30.0
18,49.6,4.1,49.4,4.3,38.9,5.4,38.1,5.4,-0.4,-21.6,-2.1,31.7
20,54.2,4.8,53.3,4.8,41.8,6.1,41.0,6.4,-1.7,-22.9,-1.9,27.1
22,56.6,5.1,56.2,5.4,43.5,6.4,43.3,6.4,-0.7,-23.1,-0.5,25.5
24,60.1,5.7,59.4,5.9,45.6,6.8,44.4,7.0,-1.2,-24.1,-2.6,19.3
26,63.1,6.2,64.0,6.3,47.2,7.6,47.5,7.6,1.4,-25.2,0.6,22.6
28,66.3,6.8,66.1,7.0,49.1,8.0,48.9,7.8,-0.3,-25.9,-0.4,17.6
30,68.7,7.5,69.3,7.5,51.2,8.8,51.0,8.8,0.9,-25.5,-0.4,17.3
32,72.8,8.3,72.1,8.1,53.0,9.4,52.7,9.4,-1.0,-27.2,-0.6,13.3
34,76.5,8.8,76.2,9.0,55.1,9.8,55.0,9.5,-0.4,-28.0,-0.2,11.4
36,79.7,9.4,78.8,9.3,56.4,10.5,56.9,10.2,-1.1,-29.2,0.9,11.7
38,81.5,9.8,80.8,9.8,57.6,10.7,58.2,10.3,-0.9,-29.3,1.0,9.2
40,84.6,10.5,83.9,10.4,59.8,11.4,59.3,10.7,-0.8,-29.3,-0.8,8.6
60,112.4,18.0,111.4,17.8,74.0,16.7,74.9,16.7,-0.9,-34.2,1.2,-7.2
80,137.2,26.2,136.6,26.2,87.1,22.0,87.8,22.6,-0.4,-36.5,0.8,-16.0
100,161.2,36.7,159.1,36.2,100.2,28.9,99.9,28.9,-1.3,-37.8,-0.3,-21.3
120,182.1,48.3,181.6,47.7,109.8,35.4,110.1,36.2,-0.3,-39.7,0.3,-26.7
140,202.2,58.7,202.8,58.7,120.3,41.6,119.9,42.5,0.3,-40.5,-0.3,-29.1
160,221.3,71.4,220.9,71.3,128.0,48.4,127.7,49.2,-0.2,-42.2,-0.2,-32.2
180,240.0,85.5,238.4,84.7,136.4,55.9,136.2,56.8,-0.7,-43.2,-0.1,-34.6
200,257.4,99.5,258.3,99.8,145.1,62.9,144.3,64.3,0.3,-43.6,-0.6,-36.8
