,n_rep,num_qubits,n_gadgets,method,mapping,cx,pre-cx,broken_chains,steiner_nodes,I-index,doubles,q-corr
317,,6,17,pauli_polynomial_dynamic_ordering,"[2, 5, 0, 4, 1, 3]",45,21,5,4,34,3,22
402,,6,17,pauli_polynomial_dynamic_ordering,"[3, 1, 4, 0, 5, 2]",46,21,5,4,34,3,22
197,,6,17,pauli_polynomial_dynamic_ordering,"[2, 0, 5, 4, 1, 3]",48,22,6,7,42,3,18
341,,6,17,pauli_polynomial_dynamic_ordering,"[2, 5, 0, 4, 3, 1]",47,22,7,7,34,2,20
522,,6,17,pauli_polynomial_dynamic_ordering,"[3, 1, 4, 5, 0, 2]",44,22,6,7,42,3,18
378,,6,17,pauli_polynomial_dynamic_ordering,"[1, 3, 4, 0, 5, 2]",55,23,7,7,34,2,20
196,,6,17,pauli_polynomial_dynamic_ordering,"[2, 0, 4, 5, 1, 3]",44,24,9,10,44,1,17
256,,6,17,pauli_polynomial_dynamic_ordering,"[1, 4, 0, 5, 2, 3]",46,24,6,7,32,2,21
463,,6,17,pauli_polynomial_dynamic_ordering,"[3, 2, 5, 0, 4, 1]",43,24,6,7,32,2,21
523,,6,17,pauli_polynomial_dynamic_ordering,"[3, 1, 5, 4, 0, 2]",49,24,9,10,44,1,17
180,,6,17,pauli_polynomial_dynamic_ordering,"[3, 0, 4, 1, 2, 5]",53,27,9,12,39,1,18
188,,6,17,pauli_polynomial_dynamic_ordering,"[4, 0, 3, 1, 5, 2]",53,27,8,8,37,1,19
262,,6,17,pauli_polynomial_dynamic_ordering,"[1, 4, 0, 5, 3, 2]",53,27,6,6,34,2,20
457,,6,17,pauli_polynomial_dynamic_ordering,"[2, 3, 5, 0, 4, 1]",44,27,6,6,34,2,20
531,,6,17,pauli_polynomial_dynamic_ordering,"[2, 5, 1, 3, 0, 4]",59,27,8,8,37,1,19
539,,6,17,pauli_polynomial_dynamic_ordering,"[5, 2, 1, 4, 0, 3]",49,27,9,12,39,1,18
571,,6,17,pauli_polynomial_dynamic_ordering,"[3, 5, 4, 1, 0, 2]",49,27,8,11,44,2,17
143,,6,17,pauli_polynomial_dynamic_ordering,"[1, 0, 5, 4, 3, 2]",54,28,8,10,38,2,18
220,,6,17,pauli_polynomial_dynamic_ordering,"[2, 0, 4, 5, 3, 1]",57,28,10,13,42,1,16
250,,6,17,pauli_polynomial_dynamic_ordering,"[1, 4, 0, 2, 5, 3]",46,28,9,10,38,1,18
328,,6,17,pauli_polynomial_dynamic_ordering,"[4, 5, 0, 2, 1, 3]",49,28,8,10,43,2,16
337,,6,17,pauli_polynomial_dynamic_ordering,"[2, 3, 0, 5, 4, 1]",47,28,8,9,38,2,18
382,,6,17,pauli_polynomial_dynamic_ordering,"[1, 4, 5, 0, 3, 2]",54,28,8,9,38,2,18
391,,6,17,pauli_polynomial_dynamic_ordering,"[3, 1, 2, 0, 5, 4]",54,28,8,10,43,2,16
469,,6,17,pauli_polynomial_dynamic_ordering,"[3, 5, 2, 0, 4, 1]",48,28,9,10,38,1,18
44,,6,17,pauli_polynomial_dynamic_ordering,"[0, 4, 1, 3, 5, 2]",51,29,8,9,36,2,19
148,,6,17,pauli_polynomial_dynamic_ordering,"[2, 0, 1, 4, 5, 3]",55,29,8,11,44,2,17
190,,6,17,pauli_polynomial_dynamic_ordering,"[4, 0, 5, 1, 3, 2]",51,29,7,6,35,2,20
221,,6,17,pauli_polynomial_dynamic_ordering,"[2, 0, 5, 4, 3, 1]",53,29,8,10,42,2,16
245,,6,17,pauli_polynomial_dynamic_ordering,"[1, 2, 0, 5, 4, 3]",54,29,10,13,44,1,15
287,,6,17,pauli_polynomial_dynamic_ordering,"[5, 1, 0, 4, 3, 2]",54,29,8,11,39,1,18
291,,6,17,pauli_polynomial_dynamic_ordering,"[2, 5, 0, 1, 3, 4]",54,29,7,5,35,3,20
331,,6,17,pauli_polynomial_dynamic_ordering,"[3, 5, 0, 4, 1, 2]",56,29,7,9,38,2,20
388,,6,17,pauli_polynomial_dynamic_ordering,"[2, 1, 4, 0, 5, 3]",55,29,7,9,38,2,20
428,,6,17,pauli_polynomial_dynamic_ordering,"[4, 3, 1, 0, 5, 2]",59,29,7,5,35,3,20
474,,6,17,pauli_polynomial_dynamic_ordering,"[3, 4, 5, 0, 2, 1]",55,29,10,13,44,1,15
485,,6,17,pauli_polynomial_dynamic_ordering,"[1, 2, 5, 4, 0, 3]",64,29,10,14,40,0,17
500,,6,17,pauli_polynomial_dynamic_ordering,"[1, 4, 3, 5, 0, 2]",48,29,9,10,40,2,17
533,,6,17,pauli_polynomial_dynamic_ordering,"[2, 5, 1, 4, 0, 3]",60,29,7,8,38,1,20
675,,6,17,pauli_polynomial_dynamic_ordering,"[2, 5, 3, 1, 4, 0]",47,29,8,9,36,2,19
146,,6,17,pauli_polynomial_dynamic_ordering,"[2, 0, 1, 4, 3, 5]",58,30,9,14,43,2,16
165,,6,17,pauli_polynomial_dynamic_ordering,"[5, 0, 1, 3, 4, 2]",53,30,9,12,43,3,16
172,,6,17,pauli_polynomial_dynamic_ordering,"[2, 0, 4, 1, 5, 3]",54,30,9,11,42,1,18
173,,6,17,pauli_polynomial_dynamic_ordering,"[2, 0, 5, 1, 4, 3]",53,30,8,7,42,2,18
186,,6,17,pauli_polynomial_dynamic_ordering,"[3, 0, 4, 1, 5, 2]",56,30,7,8,38,1,20
187,,6,17,pauli_polynomial_dynamic_ordering,"[3, 0, 5, 1, 4, 2]",59,30,9,10,44,2,17
189,,6,17,pauli_polynomial_dynamic_ordering,"[5, 0, 3, 1, 4, 2]",54,30,9,12,43,3,16
198,,6,17,pauli_polynomial_dynamic_ordering,"[3, 0, 2, 4, 1, 5]",62,30,12,17,49,1,13
211,,6,17,pauli_polynomial_dynamic_ordering,"[3, 0, 5, 4, 1, 2]",57,30,8,10,42,2,18
234,,6,17,pauli_polynomial_dynamic_ordering,"[3, 0, 4, 5, 2, 1]",58,30,10,14,40,0,17
258,,6,17,pauli_polynomial_dynamic_ordering,"[1, 3, 0, 4, 5, 2]",53,30,9,9,38,1,18
282,,6,17,pauli_polynomial_dynamic_ordering,"[3, 1, 0, 4, 5, 2]",53,30,7,6,38,2,20
294,,6,17,pauli_polynomial_dynamic_ordering,"[3, 2, 0, 1, 4, 5]",55,30,9,12,43,2,16
299,,6,17,pauli_polynomial_dynamic_ordering,"[5, 2, 0, 1, 4, 3]",52,30,9,8,41,2,17
313,,6,17,pauli_polynomial_dynamic_ordering,"[2, 3, 0, 5, 1, 4]",50,30,8,7,37,2,19
319,,6,17,pauli_polynomial_dynamic_ordering,"[3, 2, 0, 5, 1, 4]",52,30,8,8,39,2,18
355,,6,17,pauli_polynomial_dynamic_ordering,"[3, 5, 0, 4, 2, 1]",60,30,11,13,42,1,16
406,,6,17,pauli_polynomial_dynamic_ordering,"[4, 1, 5, 0, 3, 2]",48,30,8,7,37,2,19
420,,6,17,pauli_polynomial_dynamic_ordering,"[3, 4, 1, 0, 2, 5]",55,30,9,8,41,2,17
425,,6,17,pauli_polynomial_dynamic_ordering,"[5, 4, 1, 0, 2, 3]",61,30,9,12,43,2,16
432,,6,17,pauli_polynomial_dynamic_ordering,"[2, 3, 4, 0, 1, 5]",60,30,8,11,39,1,18
437,,6,17,pauli_polynomial_dynamic_ordering,"[2, 5, 4, 0, 1, 3]",54,30,7,6,38,2,20
498,,6,17,pauli_polynomial_dynamic_ordering,"[1, 3, 4, 5, 0, 2]",50,30,8,10,42,2,16
499,,6,17,pauli_polynomial_dynamic_ordering,"[1, 3, 5, 4, 0, 2]",46,30,10,13,42,1,16
508,,6,17,pauli_polynomial_dynamic_ordering,"[2, 1, 4, 5, 0, 3]",56,30,8,10,42,2,18
529,,6,17,pauli_polynomial_dynamic_ordering,"[2, 3, 1, 5, 0, 4]",44,30,7,6,35,2,20
530,,6,17,pauli_polynomial_dynamic_ordering,"[2, 4, 1, 3, 0, 5]",50,30,9,12,43,3,16
532,,6,17,pauli_polynomial_dynamic_ordering,"[2, 4, 1, 5, 0, 3]",58,30,9,10,44,2,17
546,,6,17,pauli_polynomial_dynamic_ordering,"[3, 4, 1, 5, 0, 2]",58,30,8,7,42,2,18
547,,6,17,pauli_polynomial_dynamic_ordering,"[3, 5, 1, 4, 0, 2]",52,30,9,11,42,1,18
554,,6,17,pauli_polynomial_dynamic_ordering,"[2, 4, 3, 1, 0, 5]",61,30,9,12,43,3,16
573,,6,17,pauli_polynomial_dynamic_ordering,"[5, 3, 4, 1, 0, 2]",52,30,9,14,43,2,16
576,,6,17,pauli_polynomial_dynamic_ordering,"[2, 3, 4, 5, 0, 1]",57,30,8,10,38,2,18
642,,6,17,pauli_polynomial_dynamic_ordering,"[3, 1, 4, 5, 2, 0]",53,30,10,12,42,2,16
649,,6,17,pauli_polynomial_dynamic_ordering,"[2, 3, 1, 5, 4, 0]",56,30,9,9,40,1,17
16,,6,17,pauli_polynomial_dynamic_ordering,"[0, 1, 4, 5, 2, 3]",59,31,8,10,38,2,18
38,,6,17,pauli_polynomial_dynamic_ordering,"[0, 4, 1, 3, 2, 5]",59,31,9,13,35,2,18
70,,6,17,pauli_polynomial_dynamic_ordering,"[0, 4, 5, 1, 3, 2]",53,31,9,9,40,1,17
77,,6,17,pauli_polynomial_dynamic_ordering,"[0, 2, 5, 4, 1, 3]",63,31,10,12,42,2,16
136,,6,17,pauli_polynomial_dynamic_ordering,"[1, 0, 4, 5, 2, 3]",57,31,8,9,36,1,19
166,,6,17,pauli_polynomial_dynamic_ordering,"[4, 0, 1, 5, 3, 2]",60,31,7,5,37,1,19
179,,6,17,pauli_polynomial_dynamic_ordering,"[5, 0, 2, 1, 4, 3]",61,31,10,10,43,2,16
227,,6,17,pauli_polynomial_dynamic_ordering,"[5, 0, 2, 4, 3, 1]",64,31,10,13,45,2,13
229,,6,17,pauli_polynomial_dynamic_ordering,"[3, 0, 5, 2, 4, 1]",66,31,10,13,40,2,17
235,,6,17,pauli_polynomial_dynamic_ordering,"[3, 0, 5, 4, 2, 1]",57,31,11,14,46,1,14
295,,6,17,pauli_polynomial_dynamic_ordering,"[3, 2, 0, 1, 5, 4]",55,31,10,10,43,1,16
300,,6,17,pauli_polynomial_dynamic_ordering,"[3, 4, 0, 1, 2, 5]",53,31,9,10,39,1,18
312,,6,17,pauli_polynomial_dynamic_ordering,"[2, 3, 0, 4, 1, 5]",54,31,8,12,39,1,18
326,,6,17,pauli_polynomial_dynamic_ordering,"[4, 3, 0, 2, 1, 5]",56,31,10,15,46,0,13
342,,6,17,pauli_polynomial_dynamic_ordering,"[3, 2, 0, 4, 5, 1]",60,31,11,13,42,0,16
