,n_rep,num_qubits,n_gadgets,method,mapping,cx,pre-cx,broken_chains,steiner_nodes,I-index,doubles,q-corr
0,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 3, 4, 5, 6]",334,291,58,110,227,6,100
1,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 3, 4, 6, 5]",358,321,59,112,237,4,94
2,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 3, 5, 4, 6]",350,310,56,111,229,8,99
3,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 3, 6, 4, 5]",378,327,55,107,221,7,102
4,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 3, 5, 6, 4]",360,322,57,114,236,5,94
5,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 3, 6, 5, 4]",347,310,55,108,218,6,103
6,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 4, 3, 5, 6]",352,302,58,109,235,4,96
7,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 4, 3, 6, 5]",352,307,58,111,227,3,99
8,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 5, 3, 4, 6]",349,306,58,113,231,5,98
9,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 6, 3, 4, 5]",347,308,53,104,209,6,108
10,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 5, 3, 6, 4]",354,310,56,116,222,5,101
11,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 6, 3, 5, 4]",340,300,51,105,208,7,108
12,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 4, 5, 3, 6]",332,290,53,102,219,7,104
13,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 4, 6, 3, 5]",356,322,57,108,229,5,98
14,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 5, 4, 3, 6]",363,318,55,105,213,6,107
15,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 2, 6, 4, 3, 5]",315,289,56,106,227,5,99
