,n_rep,num_qubits,n_gadgets,method,mapping,cx,pre-cx,broken_chains,steiner_nodes,I-index,doubles,q-corr
1248,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 0, 4, 2, 5, 1, 6]",300,262,54,101,228,5,101
92,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 5, 4, 6, 2, 3]",309,265,58,115,231,6,99
2558,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 2, 4, 0, 1, 3, 6]",310,265,55,99,222,4,102
3531,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 6, 2, 4, 0, 5, 1]",306,266,59,118,227,3,98
872,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 0, 1, 2, 3, 4, 6]",310,267,62,125,240,4,93
959,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 0, 1, 5, 4, 3, 2]",316,267,57,109,231,6,99
2115,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 6, 0, 4, 2, 5, 1]",314,267,57,109,225,4,99
90,,7,76,pauli_polynomial_steiner_gray_clifford,"[0, 1, 4, 5, 6, 2, 3]",312,268,56,109,221,5,104
1269,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 0, 4, 2, 5, 1, 3]",311,268,57,107,234,5,98
1293,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 0, 4, 5, 2, 1, 3]",314,268,52,105,216,9,107
1479,,7,76,pauli_polynomial_steiner_gray_clifford,"[1, 6, 0, 2, 4, 3, 5]",304,268,61,113,231,5,94
1745,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 5, 0, 1, 2, 3, 4]",308,268,63,120,237,3,94
2555,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 2, 3, 0, 1, 5, 4]",314,268,55,99,223,6,101
2697,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 3, 2, 0, 4, 1, 5]",312,269,54,106,222,6,102
3221,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 6, 1, 5, 0, 4, 2]",311,269,56,97,229,4,101
3338,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 5, 4, 1, 0, 6, 2]",310,269,54,91,215,7,108
4187,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 3, 5, 4, 1, 0, 2]",314,269,50,92,213,8,108
2722,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 3, 6, 0, 2, 1, 4]",314,270,54,113,215,7,104
1415,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 0, 5, 4, 2, 3, 1]",314,271,59,118,237,5,92
2649,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 6, 3, 0, 4, 1, 5]",308,271,53,105,211,5,108
2747,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 3, 5, 0, 4, 1, 2]",306,271,54,98,217,6,106
2751,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 4, 3, 0, 5, 1, 2]",317,271,59,107,239,5,95
