name,backend,num_qubits,n_gadgets,method,cx,cx-depth,time
H4_P_sto3g,nairobi,6,164,shortest_path_synthesis_map,208,170,0.137158
H4_P_sto3g,nairobi,6,164,shortest_path_synthesis,210,176,0.157787
H4_P_sto3g,nairobi,6,164,pauliopt_steiner_gray,471,344,0.285982
NH_BK_sto3g,guadalupe,12,640,shortest_path_synthesis,1996,1190,6.261751
NH_BK_sto3g,guadalupe,12,640,shortest_path_synthesis_map,2081,1315,6.410697
H2O_JW_sto3g,guadalupe,14,1000,shortest_path_synthesis,3443,2032,17.824075
H2O_JW_sto3g,guadalupe,14,1000,shortest_path_synthesis_map,3637,2074,18.236924
NH_BK_sto3g,guadalupe,12,640,pauliopt_steiner_gray,4788,2433,27.244212
H4_BK_631g,mumbai,16,1440,shortest_path_synthesis_map,7085,4093,62.32847
H4_BK_631g,mumbai,16,1440,shortest_path_synthesis,7044,3967,68.379582
BeH2_BK_sto3g,guadalupe,14,1488,shortest_path_synthesis_map,6675,4009,60.690455
H2O_JW_sto3g,guadalupe,14,1000,pauliopt_steiner_gray,7967,3683,87.914917
BeH2_BK_sto3g,guadalupe,14,1488,shortest_path_synthesis,6884,3981,62.914208
CH2_P_sto3g,guadalupe,12,2109,shortest_path_synthesis_map,4583,2686,45.215749
CH2_P_sto3g,guadalupe,12,2109,shortest_path_synthesis,4449,2622,48.131672
H2_BK_631g,guadalupe,8,84,pauliopt_steiner_gray,443,301,0.358812
H2_BK_631g,guadalupe,8,84,shortest_path_synthesis_map,236,172,0.199845
H2_BK_631g,guadalupe,8,84,shortest_path_synthesis,214,158,0.179687
H8_JW_sto3g,mumbai,16,2688,shortest_path_synthesis_map,9399,5383,200.921229
BeH2_BK_sto3g,guadalupe,14,1488,pauliopt_steiner_gray,12419,5628,285.757325
H8_JW_sto3g,mumbai,16,2688,shortest_path_synthesis,9736,5405,206.308597
H2_P_sto3g,quito,2,4,pauliopt_steiner_gray,5,3,0.002326
H2_P_sto3g,quito,2,4,shortest_path_synthesis_map,2,2,0.002675
H2_P_sto3g,quito,2,4,shortest_path_synthesis,2,2,0.003143
CH2_BK_sto3g,guadalupe,14,1488,shortest_path_synthesis_map,5778,3331,58.212143
CH2_BK_sto3g,guadalupe,14,1488,shortest_path_synthesis,5905,3397,60.3296
BeH2_P_sto3g,guadalupe,12,1085,shortest_path_synthesis_map,2891,1810,16.825164
H4_BK_631g,mumbai,16,1440,pauliopt_steiner_gray,13852,4585,381.602437
BeH2_P_sto3g,guadalupe,12,1085,shortest_path_synthesis,2664,1613,15.174473
HCl_BK_sto3g,mumbai,20,684,shortest_path_synthesis_map,2910,1643,15.060289
HCl_BK_sto3g,mumbai,20,684,shortest_path_synthesis,3745,2053,18.737892
HCl_JW_sto3g,mumbai,20,684,shortest_path_synthesis_map,3365,1897,16.380745
HCl_JW_sto3g,mumbai,20,684,shortest_path_synthesis,2830,1571,15.626914
HCl_BK_sto3g,mumbai,20,684,pauliopt_steiner_gray,6308,2712,62.134565
BeH2_P_sto3g,guadalupe,12,1085,pauliopt_steiner_gray,8482,4372,106.454376
CH2_BK_sto3g,guadalupe,14,1488,pauliopt_steiner_gray,12919,6182,312.128895
HCl_JW_sto3g,mumbai,20,684,pauliopt_steiner_gray,5807,2677,54.717747
CH2_JW_sto3g,guadalupe,14,1488,shortest_path_synthesis_map,4873,2808,47.938917
H4_P_631g,guadalupe,14,2912,shortest_path_synthesis_map,7875,4318,100.08554
H4_P_631g,guadalupe,14,2912,shortest_path_synthesis,7736,4322,96.123848
CH2_JW_sto3g,guadalupe,14,1488,shortest_path_synthesis,4997,2880,45.746846
CH2_P_sto3g,guadalupe,12,2109,pauliopt_steiner_gray,14909,7740,508.983035
CH2_JW_sto3g,guadalupe,14,1488,pauliopt_steiner_gray,13433,6398,268.633513
LiH_JW_631g,mumbai,22,3240,shortest_path_synthesis_map,14646,7816,310.771251
N2_JW_sto3g,mumbai,20,4620,shortest_path_synthesis_map,17391,9432,541.904219
N2_JW_sto3g,mumbai,20,4620,shortest_path_synthesis,19098,10315,595.19257
LiH_JW_631g,mumbai,22,3240,shortest_path_synthesis,13907,7714,327.228544
H8_BK_sto3g,mumbai,16,2688,shortest_path_synthesis_map,10710,6104,210.586018
H8_BK_sto3g,mumbai,16,2688,shortest_path_synthesis,10527,5935,206.405473
N2_P_sto3g,mumbai,18,2950,shortest_path_synthesis_map,12111,6455,199.213894
H4_P_631g,guadalupe,14,2912,pauliopt_steiner_gray,24224,10984,1367.807754
N2_P_sto3g,mumbai,18,2950,shortest_path_synthesis,12472,6580,169.499451
BeH2_JW_sto3g,guadalupe,14,1488,shortest_path_synthesis_map,5183,2930,48.799971
BeH2_JW_sto3g,guadalupe,14,1488,shortest_path_synthesis,4894,2738,45.554959
H8_JW_sto3g,mumbai,16,2688,pauliopt_steiner_gray,29280,9118,1963.875881
BeH2_JW_sto3g,guadalupe,14,1488,pauliopt_steiner_gray,12181,5908,262.041392
H8_BK_sto3g,mumbai,16,2688,pauliopt_steiner_gray,28018,9355,1851.9099
H2O_BK_sto3g,guadalupe,14,1000,pauliopt_steiner_gray,8675,3877,99.330663
H2O_BK_sto3g,guadalupe,14,1000,shortest_path_synthesis_map,3850,2205,24.366985
H2O_BK_sto3g,guadalupe,14,1000,shortest_path_synthesis,3510,2022,23.436234
LiH_JW_631g,mumbai,22,3240,pauliopt_steiner_gray,33673,11058,2892.350556
N2_P_sto3g,mumbai,18,2950,pauliopt_steiner_gray,35602,10935,2353.009604
BeH2_P_631g,mumbai,24,12731,shortest_path_synthesis,51650,27126,3051.637408
BeH2_P_631g,mumbai,24,12731,shortest_path_synthesis_map,54163,28074,3354.981391
NH_JW_sto3g,guadalupe,12,640,pauliopt_steiner_gray,4884,2608,35.27737
NH_JW_sto3g,guadalupe,12,640,shortest_path_synthesis_map,1979,1234,9.278958
NH_JW_sto3g,guadalupe,12,640,shortest_path_synthesis,2211,1341,10.587083
H2_BK_sto3g,quito,4,12,pauliopt_steiner_gray,35,35,0.006719
H2_BK_sto3g,quito,4,12,shortest_path_synthesis_map,22,22,0.007068
H2_BK_sto3g,quito,4,12,shortest_path_synthesis,23,23,0.00831
LiH_P_sto3g,guadalupe,10,630,pauliopt_steiner_gray,3472,1933,20.561199
LiH_P_sto3g,guadalupe,10,630,shortest_path_synthesis_map,1279,840,3.905061
LiH_P_sto3g,guadalupe,10,630,shortest_path_synthesis,1268,811,3.67189
NH_P_631g,mumbai,20,6869,shortest_path_synthesis_map,21756,11785,826.572133
NH3_BK_sto3g,mumbai,16,2340,shortest_path_synthesis_map,8931,5173,165.383333
NH_P_631g,mumbai,20,6869,shortest_path_synthesis,21944,11618,771.846866
NH3_BK_sto3g,mumbai,16,2340,shortest_path_synthesis,8974,4986,161.951013
LiH_BK_631g,mumbai,22,3240,shortest_path_synthesis_map,25480,12954,581.809287
H2_P_631g,nairobi,6,158,pauliopt_steiner_gray,433,332,0.375235
H2_P_631g,nairobi,6,158,shortest_path_synthesis_map,217,166,0.185273
H2_P_631g,nairobi,6,158,shortest_path_synthesis,192,146,0.166721
NH3_BK_sto3g,mumbai,16,2340,pauliopt_steiner_gray,25280,8400,1469.743773
LiH_BK_631g,mumbai,22,3240,shortest_path_synthesis,23960,12465,551.401103
NH3_P_sto3g,guadalupe,14,5792,shortest_path_synthesis_map,11514,6480,335.672656
C2_P_sto3g,mumbai,18,2950,shortest_path_synthesis_map,12138,6649,190.081384
H4_JW_sto3g,guadalupe,8,160,pauliopt_steiner_gray,883,552,1.241445
H4_JW_sto3g,guadalupe,8,160,shortest_path_synthesis_map,410,290,0.558769
H4_JW_sto3g,guadalupe,8,160,shortest_path_synthesis,399,290,0.579343
NH_P_sto3g,guadalupe,10,630,pauliopt_steiner_gray,3472,1933,22.097303
NH_P_sto3g,guadalupe,10,630,shortest_path_synthesis_map,1279,840,4.374493
NH_P_sto3g,guadalupe,10,630,shortest_path_synthesis,1268,811,4.004226
NH3_P_sto3g,guadalupe,14,5792,shortest_path_synthesis,11960,6692,356.395334
LiH_JW_sto3g,guadalupe,12,640,pauliopt_steiner_gray,4331,2385,32.378769
LiH_JW_sto3g,guadalupe,12,640,shortest_path_synthesis_map,1910,1147,9.680091
LiH_JW_sto3g,guadalupe,12,640,shortest_path_synthesis,1934,1128,9.586826
C2_P_sto3g,mumbai,18,2950,shortest_path_synthesis,12405,6653,197.349779
LiH_BK_sto3g,guadalupe,12,640,pauliopt_steiner_gray,4250,2261,31.014022
LiH_BK_sto3g,guadalupe,12,640,shortest_path_synthesis_map,2665,1601,11.747618
LiH_BK_sto3g,guadalupe,12,640,shortest_path_synthesis,2494,1460,11.826869
H2_JW_631g,guadalupe,8,84,pauliopt_steiner_gray,414,272,0.312167
H2_JW_631g,guadalupe,8,84,shortest_path_synthesis_map,229,169,0.177482
H2_JW_631g,guadalupe,8,84,shortest_path_synthesis,235,176,0.182229
H4_BK_sto3g,guadalupe,8,160,pauliopt_steiner_gray,878,523,1.251442
H4_BK_sto3g,guadalupe,8,160,shortest_path_synthesis_map,382,280,0.552323
H4_BK_sto3g,guadalupe,8,160,shortest_path_synthesis,436,304,0.58393
H4_JW_631g,mumbai,16,1440,pauliopt_steiner_gray,11727,5267,329.397679
H4_JW_631g,mumbai,16,1440,shortest_path_synthesis_map,5446,3059,56.336587
H4_JW_631g,mumbai,16,1440,shortest_path_synthesis,5952,3404,60.452455
H2O_P_sto3g,guadalupe,12,1085,pauliopt_steiner_gray,8077,4015,98.821128
H2O_P_sto3g,guadalupe,12,1085,shortest_path_synthesis_map,2699,1682,13.035664
H2O_P_sto3g,guadalupe,12,1085,shortest_path_synthesis,2684,1636,13.418741
LiH_BK_631g,mumbai,22,3240,pauliopt_steiner_gray,35792,11586,3347.950078
NH3_JW_sto3g,mumbai,16,2340,pauliopt_steiner_gray,23182,7937,1337.302296
NH3_JW_sto3g,mumbai,16,2340,shortest_path_synthesis_map,8486,4664,164.430067
H2_JW_sto3g,quito,4,12,pauliopt_steiner_gray,38,38,0.007415
H2_JW_sto3g,quito,4,12,shortest_path_synthesis_map,25,25,0.006898
H2_JW_sto3g,quito,4,12,shortest_path_synthesis,24,24,0.007053
NH3_JW_sto3g,mumbai,16,2340,shortest_path_synthesis,8004,4347,155.263069
C2_P_sto3g,mumbai,18,2950,pauliopt_steiner_gray,37786,11144,2742.884465
