,name,backend,num_qubits,n_gadgets,cx sp,time sp,cx lo,time lo,cx diff %,time diff %
0,BeH2_BK_sto3g,guadalupe,14,1488,4020,49.77,5628.0,218.88,-28.57,-77.26
1,BeH2_JW_sto3g,guadalupe,14,1488,2928,47.59,5908.0,263.49,-50.44,-81.94
2,BeH2_P_631g,mumbai,24,12731,28099,5192.13,,,,
3,BeH2_P_sto3g,guadalupe,12,1085,1824,12.07,4372.0,84.27,-58.28,-85.68
4,C2_P_sto3g,mumbai,18,2950,6641,176.89,11144.0,8195.94,-40.41,-97.84
5,CH2_BK_sto3g,guadalupe,14,1488,3330,44.82,6182.0,238.28,-46.13,-81.19
6,CH2_JW_sto3g,guadalupe,14,1488,2801,41.07,6398.0,252.11,-56.22,-83.71
7,CH2_P_sto3g,guadalupe,12,2109,2703,34.87,7740.0,407.65,-65.08,-91.45
8,H2O_BK_sto3g,guadalupe,14,1000,2212,25.25,3877.0,105.71,-42.95,-76.12
9,H2O_JW_sto3g,guadalupe,14,1000,2086,16.97,3683.0,75.84,-43.36,-77.62
10,H2O_P_sto3g,guadalupe,12,1085,1689,12.96,4015.0,101.3,-57.93,-87.21
11,H2_BK_631g,guadalupe,8,84,196,0.14,301.0,0.31,-34.88,-56.08
12,H2_BK_sto3g,quito,4,12,22,0.01,35.0,0.01,-37.14,24.36
13,H2_JW_631g,guadalupe,8,84,207,0.18,272.0,0.3,-23.9,-40.14
14,H2_JW_sto3g,quito,4,12,26,0.01,38.0,0.0,-31.58,11.9
15,H2_P_631g,nairobi,6,158,169,0.17,332.0,0.34,-49.1,-50.83
16,H2_P_sto3g,quito,2,4,2,0.0,3.0,0.0,-33.33,-14.31
17,H4_BK_631g,mumbai,16,1440,4097,51.97,4585.0,301.4,-10.64,-82.76
18,H4_BK_sto3g,guadalupe,8,160,307,0.49,523.0,1.17,-41.3,-58.12
19,H4_JW_631g,mumbai,16,1440,3072,54.63,5267.0,324.88,-41.67,-83.18
20,H4_JW_sto3g,guadalupe,8,160,331,0.49,552.0,1.13,-40.04,-56.57
21,H4_P_631g,guadalupe,14,2912,4331,89.33,10984.0,1261.93,-60.57,-92.92
22,H4_P_sto3g,nairobi,6,164,177,0.14,344.0,0.27,-48.55,-47.91
23,H8_BK_sto3g,mumbai,16,2688,6123,195.93,9355.0,1793.07,-34.55,-89.07
24,H8_JW_sto3g,mumbai,16,2688,5401,150.3,9118.0,1809.13,-40.77,-91.69
25,HCl_BK_sto3g,mumbai,20,684,1636,11.57,2712.0,49.13,-39.68,-76.45
26,HCl_JW_sto3g,mumbai,20,684,1904,12.57,2677.0,44.34,-28.88,-71.65
27,LiH_BK_631g,mumbai,22,3240,12979,546.28,11586.0,8930.67,12.02,-93.88
28,LiH_BK_sto3g,guadalupe,12,640,1599,11.67,2261.0,29.56,-29.28,-60.51
29,LiH_JW_631g,mumbai,22,3240,7850,294.47,11058.0,2866.38,-29.01,-89.73
30,LiH_JW_sto3g,guadalupe,12,640,1155,8.57,2385.0,28.93,-51.57,-70.37
31,LiH_P_sto3g,guadalupe,10,630,841,3.6,1933.0,18.45,-56.49,-80.47
32,N2_JW_sto3g,mumbai,20,4620,9483,515.69,,,,
33,N2_P_sto3g,mumbai,18,2950,6501,164.58,10935.0,4338.95,-40.55,-96.21
34,NH3_BK_sto3g,mumbai,16,2340,5174,139.99,8400.0,1307.02,-38.4,-89.29
35,NH3_JW_sto3g,mumbai,16,2340,4651,3592.2,7937.0,6953.88,-41.4,-48.34
36,NH3_P_sto3g,guadalupe,14,5792,6493,302.93,,,,
37,NH_BK_sto3g,guadalupe,12,640,1313,6.21,2433.0,23.33,-46.03,-73.4
38,NH_JW_sto3g,guadalupe,12,640,1213,7.92,2608.0,30.87,-53.49,-74.35
39,NH_P_631g,mumbai,20,6869,11810,651.87,,,,
40,NH_P_sto3g,guadalupe,10,630,841,3.8,1933.0,19.56,-56.49,-80.59
