,name,backend,num_qubits,n_gadgets,cx sp,cx-depth_x,time sp,cx lo,cx-depth_y,time lo,cx diff %,time diff %
0,BeH2_BK_sto3g,guadalupe,14,1488,6675,4009,60.69,12419.0,5628.0,285.76,-46.25,-78.76
1,BeH2_JW_sto3g,guadalupe,14,1488,5183,2930,48.8,12181.0,5908.0,262.04,-57.45,-81.38
2,BeH2_P_631g,mumbai,24,12731,54163,28074,3354.98,,,,,
3,BeH2_P_sto3g,guadalupe,12,1085,2891,1810,16.83,8482.0,4372.0,106.45,-65.92,-84.19
4,C2_P_sto3g,mumbai,18,2950,12138,6649,190.08,37786.0,11144.0,2742.88,-67.88,-93.07
5,CH2_BK_sto3g,guadalupe,14,1488,5778,3331,58.21,12919.0,6182.0,312.13,-55.28,-81.35
6,CH2_JW_sto3g,guadalupe,14,1488,4873,2808,47.94,13433.0,6398.0,268.63,-63.72,-82.15
7,CH2_P_sto3g,guadalupe,12,2109,4583,2686,45.22,14909.0,7740.0,508.98,-69.26,-91.12
8,H2O_BK_sto3g,guadalupe,14,1000,3850,2205,24.37,8675.0,3877.0,99.33,-55.62,-75.47
9,H2O_JW_sto3g,guadalupe,14,1000,3637,2074,18.24,7967.0,3683.0,87.91,-54.35,-79.26
10,H2O_P_sto3g,guadalupe,12,1085,2699,1682,13.04,8077.0,4015.0,98.82,-66.58,-86.81
11,H2_BK_631g,guadalupe,8,84,236,172,0.2,443.0,301.0,0.36,-46.73,-44.3
12,H2_BK_sto3g,quito,4,12,22,22,0.01,35.0,35.0,0.01,-37.14,5.19
13,H2_JW_631g,guadalupe,8,84,229,169,0.18,414.0,272.0,0.31,-44.69,-43.15
14,H2_JW_sto3g,quito,4,12,25,25,0.01,38.0,38.0,0.01,-34.21,-6.97
15,H2_P_631g,nairobi,6,158,217,166,0.19,433.0,332.0,0.38,-49.88,-50.62
16,H2_P_sto3g,quito,2,4,2,2,0.0,5.0,3.0,0.0,-60.0,15.0
17,H4_BK_631g,mumbai,16,1440,7085,4093,62.33,13852.0,4585.0,381.6,-48.85,-83.67
18,H4_BK_sto3g,guadalupe,8,160,382,280,0.55,878.0,523.0,1.25,-56.49,-55.87
19,H4_JW_631g,mumbai,16,1440,5446,3059,56.34,11727.0,5267.0,329.4,-53.56,-82.9
20,H4_JW_sto3g,guadalupe,8,160,410,290,0.56,883.0,552.0,1.24,-53.57,-54.99
21,H4_P_631g,guadalupe,14,2912,7875,4318,100.09,24224.0,10984.0,1367.81,-67.49,-92.68
22,H4_P_sto3g,nairobi,6,164,208,170,0.14,471.0,344.0,0.29,-55.84,-52.04
23,H8_BK_sto3g,mumbai,16,2688,10710,6104,210.59,28018.0,9355.0,1851.91,-61.77,-88.63
24,H8_JW_sto3g,mumbai,16,2688,9399,5383,200.92,29280.0,9118.0,1963.88,-67.9,-89.77
25,HCl_BK_sto3g,mumbai,20,684,2910,1643,15.06,6308.0,2712.0,62.13,-53.87,-75.76
26,HCl_JW_sto3g,mumbai,20,684,3365,1897,16.38,5807.0,2677.0,54.72,-42.05,-70.06
27,LiH_BK_631g,mumbai,22,3240,25480,12954,581.81,35792.0,11586.0,3347.95,-28.81,-82.62
28,LiH_BK_sto3g,guadalupe,12,640,2665,1601,11.75,4250.0,2261.0,31.01,-37.29,-62.12
29,LiH_JW_631g,mumbai,22,3240,14646,7816,310.77,33673.0,11058.0,2892.35,-56.51,-89.26
30,LiH_JW_sto3g,guadalupe,12,640,1910,1147,9.68,4331.0,2385.0,32.38,-55.9,-70.1
31,LiH_P_sto3g,guadalupe,10,630,1279,840,3.91,3472.0,1933.0,20.56,-63.16,-81.01
32,N2_JW_sto3g,mumbai,20,4620,17391,9432,541.9,,,,,
33,N2_P_sto3g,mumbai,18,2950,12111,6455,199.21,35602.0,10935.0,2353.01,-65.98,-91.53
34,NH3_BK_sto3g,mumbai,16,2340,8931,5173,165.38,25280.0,8400.0,1469.74,-64.67,-88.75
35,NH3_JW_sto3g,mumbai,16,2340,8486,4664,164.43,23182.0,7937.0,1337.3,-63.39,-87.7
36,NH3_P_sto3g,guadalupe,14,5792,11514,6480,335.67,,,,,
37,NH_BK_sto3g,guadalupe,12,640,2081,1315,6.41,4788.0,2433.0,27.24,-56.54,-76.47
38,NH_JW_sto3g,guadalupe,12,640,1979,1234,9.28,4884.0,2608.0,35.28,-59.48,-73.7
39,NH_P_631g,mumbai,20,6869,21756,11785,826.57,,,,,
40,NH_P_sto3g,guadalupe,10,630,1279,840,4.37,3472.0,1933.0,22.1,-63.16,-80.2
