,name,backend,num_qubits,n_gadgets,cx sp,cx-depth_x,time sp,cx lo,cx-depth_y,time lo,cx diff %,time diff %
0,BeH2_BK_sto3g,guadalupe,14,1488,6675,4009,60.69,6884,3981,62.91,-3.04,-3.53
1,BeH2_JW_sto3g,guadalupe,14,1488,5183,2930,48.8,4894,2738,45.55,5.91,7.12
2,BeH2_P_631g,mumbai,24,12731,54163,28074,3354.98,51650,27126,3051.64,4.87,9.94
3,BeH2_P_sto3g,guadalupe,12,1085,2891,1810,16.83,2664,1613,15.17,8.52,10.88
4,C2_P_sto3g,mumbai,18,2950,12138,6649,190.08,12405,6653,197.35,-2.15,-3.68
5,CH2_BK_sto3g,guadalupe,14,1488,5778,3331,58.21,5905,3397,60.33,-2.15,-3.51
6,CH2_JW_sto3g,guadalupe,14,1488,4873,2808,47.94,4997,2880,45.75,-2.48,4.79
7,CH2_P_sto3g,guadalupe,12,2109,4583,2686,45.22,4449,2622,48.13,3.01,-6.06
8,H2O_BK_sto3g,guadalupe,14,1000,3850,2205,24.37,3510,2022,23.44,9.69,3.97
9,H2O_JW_sto3g,guadalupe,14,1000,3637,2074,18.24,3443,2032,17.82,5.63,2.32
10,H2O_P_sto3g,guadalupe,12,1085,2699,1682,13.04,2684,1636,13.42,0.56,-2.85
11,H2_BK_631g,guadalupe,8,84,236,172,0.2,214,158,0.18,10.28,11.22
12,H2_BK_sto3g,quito,4,12,22,22,0.01,23,23,0.01,-4.35,-14.95
13,H2_JW_631g,guadalupe,8,84,229,169,0.18,235,176,0.18,-2.55,-2.6
14,H2_JW_sto3g,quito,4,12,25,25,0.01,24,24,0.01,4.17,-2.2
15,H2_P_631g,nairobi,6,158,217,166,0.19,192,146,0.17,13.02,11.13
16,H2_P_sto3g,quito,2,4,2,2,0.0,2,2,0.0,0.0,-14.89
17,H4_BK_631g,mumbai,16,1440,7085,4093,62.33,7044,3967,68.38,0.58,-8.85
18,H4_BK_sto3g,guadalupe,8,160,382,280,0.55,436,304,0.58,-12.39,-5.41
19,H4_JW_631g,mumbai,16,1440,5446,3059,56.34,5952,3404,60.45,-8.5,-6.81
20,H4_JW_sto3g,guadalupe,8,160,410,290,0.56,399,290,0.58,2.76,-3.55
21,H4_P_631g,guadalupe,14,2912,7875,4318,100.09,7736,4322,96.12,1.8,4.12
22,H4_P_sto3g,nairobi,6,164,208,170,0.14,210,176,0.16,-0.95,-13.07
23,H8_BK_sto3g,mumbai,16,2688,10710,6104,210.59,10527,5935,206.41,1.74,2.03
24,H8_JW_sto3g,mumbai,16,2688,9399,5383,200.92,9736,5405,206.31,-3.46,-2.61
25,HCl_BK_sto3g,mumbai,20,684,2910,1643,15.06,3745,2053,18.74,-22.3,-19.63
26,HCl_JW_sto3g,mumbai,20,684,3365,1897,16.38,2830,1571,15.63,18.9,4.82
27,LiH_BK_631g,mumbai,22,3240,25480,12954,581.81,23960,12465,551.4,6.34,5.51
28,LiH_BK_sto3g,guadalupe,12,640,2665,1601,11.75,2494,1460,11.83,6.86,-0.67
29,LiH_JW_631g,mumbai,22,3240,14646,7816,310.77,13907,7714,327.23,5.31,-5.03
30,LiH_JW_sto3g,guadalupe,12,640,1910,1147,9.68,1934,1128,9.59,-1.24,0.97
31,LiH_P_sto3g,guadalupe,10,630,1279,840,3.91,1268,811,3.67,0.87,6.35
32,N2_JW_sto3g,mumbai,20,4620,17391,9432,541.9,19098,10315,595.19,-8.94,-8.95
33,N2_P_sto3g,mumbai,18,2950,12111,6455,199.21,12472,6580,169.5,-2.89,17.53
34,NH3_BK_sto3g,mumbai,16,2340,8931,5173,165.38,8974,4986,161.95,-0.48,2.12
35,NH3_JW_sto3g,mumbai,16,2340,8486,4664,164.43,8004,4347,155.26,6.02,5.9
36,NH3_P_sto3g,guadalupe,14,5792,11514,6480,335.67,11960,6692,356.4,-3.73,-5.81
37,NH_BK_sto3g,guadalupe,12,640,2081,1315,6.41,1996,1190,6.26,4.26,2.38
38,NH_JW_sto3g,guadalupe,12,640,1979,1234,9.28,2211,1341,10.59,-10.49,-12.36
39,NH_P_631g,mumbai,20,6869,21756,11785,826.57,21944,11618,771.85,-0.86,7.09
40,NH_P_sto3g,guadalupe,10,630,1279,840,4.37,1268,811,4.0,0.87,9.25
