,name,backend,num_qubits,n_gadgets,cx sp,time sp,cx lo,time lo,cx diff %,time diff %
0,BeH2_BK_sto3g,guadalupe,14,1488,4009,60.69,5628.0,285.76,-28.77,-78.76
1,BeH2_JW_sto3g,guadalupe,14,1488,2930,48.8,5908.0,262.04,-50.41,-81.38
2,BeH2_P_631g,mumbai,24,12731,28074,3354.98,,,,
3,BeH2_P_sto3g,guadalupe,12,1085,1810,16.83,4372.0,106.45,-58.6,-84.19
4,C2_P_sto3g,mumbai,18,2950,6649,190.08,11144.0,2742.88,-40.34,-93.07
5,CH2_BK_sto3g,guadalupe,14,1488,3331,58.21,6182.0,312.13,-46.12,-81.35
6,CH2_JW_sto3g,guadalupe,14,1488,2808,47.94,6398.0,268.63,-56.11,-82.15
7,CH2_P_sto3g,guadalupe,12,2109,2686,45.22,7740.0,508.98,-65.3,-91.12
8,H2O_BK_sto3g,guadalupe,14,1000,2205,24.37,3877.0,99.33,-43.13,-75.47
9,H2O_JW_sto3g,guadalupe,14,1000,2074,18.24,3683.0,87.91,-43.69,-79.26
10,H2O_P_sto3g,guadalupe,12,1085,1682,13.04,4015.0,98.82,-58.11,-86.81
11,H2_BK_631g,guadalupe,8,84,172,0.2,301.0,0.36,-42.86,-44.3
12,H2_BK_sto3g,quito,4,12,22,0.01,35.0,0.01,-37.14,5.19
13,H2_JW_631g,guadalupe,8,84,169,0.18,272.0,0.31,-37.87,-43.15
14,H2_JW_sto3g,quito,4,12,25,0.01,38.0,0.01,-34.21,-6.97
15,H2_P_631g,nairobi,6,158,166,0.19,332.0,0.38,-50.0,-50.62
16,H2_P_sto3g,quito,2,4,2,0.0,3.0,0.0,-33.33,15.0
17,H4_BK_631g,mumbai,16,1440,4093,62.33,4585.0,381.6,-10.73,-83.67
18,H4_BK_sto3g,guadalupe,8,160,280,0.55,523.0,1.25,-46.46,-55.87
19,H4_JW_631g,mumbai,16,1440,3059,56.34,5267.0,329.4,-41.92,-82.9
20,H4_JW_sto3g,guadalupe,8,160,290,0.56,552.0,1.24,-47.46,-54.99
21,H4_P_631g,guadalupe,14,2912,4318,100.09,10984.0,1367.81,-60.69,-92.68
22,H4_P_sto3g,nairobi,6,164,170,0.14,344.0,0.29,-50.58,-52.04
23,H8_BK_sto3g,mumbai,16,2688,6104,210.59,9355.0,1851.91,-34.75,-88.63
24,H8_JW_sto3g,mumbai,16,2688,5383,200.92,9118.0,1963.88,-40.96,-89.77
25,HCl_BK_sto3g,mumbai,20,684,1643,15.06,2712.0,62.13,-39.42,-75.76
26,HCl_JW_sto3g,mumbai,20,684,1897,16.38,2677.0,54.72,-29.14,-70.06
27,LiH_BK_631g,mumbai,22,3240,12954,581.81,11586.0,3347.95,11.81,-82.62
28,LiH_BK_sto3g,guadalupe,12,640,1601,11.75,2261.0,31.01,-29.19,-62.12
29,LiH_JW_631g,mumbai,22,3240,7816,310.77,11058.0,2892.35,-29.32,-89.26
30,LiH_JW_sto3g,guadalupe,12,640,1147,9.68,2385.0,32.38,-51.91,-70.1
31,LiH_P_sto3g,guadalupe,10,630,840,3.91,1933.0,20.56,-56.54,-81.01
32,N2_JW_sto3g,mumbai,20,4620,9432,541.9,,,,
33,N2_P_sto3g,mumbai,18,2950,6455,199.21,10935.0,2353.01,-40.97,-91.53
34,NH3_BK_sto3g,mumbai,16,2340,5173,165.38,8400.0,1469.74,-38.42,-88.75
35,NH3_JW_sto3g,mumbai,16,2340,4664,164.43,7937.0,1337.3,-41.24,-87.7
36,NH3_P_sto3g,guadalupe,14,5792,6480,335.67,,,,
37,NH_BK_sto3g,guadalupe,12,640,1315,6.41,2433.0,27.24,-45.95,-76.47
38,NH_JW_sto3g,guadalupe,12,640,1234,9.28,2608.0,35.28,-52.68,-73.7
39,NH_P_631g,mumbai,20,6869,11785,826.57,,,,
40,NH_P_sto3g,guadalupe,10,630,840,4.37,1933.0,22.1,-56.54,-80.2
