,name,backend,num_qubits,n_gadgets,cx sp,time sp,cx lo,time lo,cx diff %,time diff %
0,BeH2_BK_sto3g,guadalupe,14,1488,4009,60.69,3981,62.91,0.7,-3.53
1,BeH2_JW_sto3g,guadalupe,14,1488,2930,48.8,2738,45.55,7.01,7.12
2,BeH2_P_631g,mumbai,24,12731,28074,3354.98,27126,3051.64,3.49,9.94
3,BeH2_P_sto3g,guadalupe,12,1085,1810,16.83,1613,15.17,12.21,10.88
4,C2_P_sto3g,mumbai,18,2950,6649,190.08,6653,197.35,-0.06,-3.68
5,CH2_BK_sto3g,guadalupe,14,1488,3331,58.21,3397,60.33,-1.94,-3.51
6,CH2_JW_sto3g,guadalupe,14,1488,2808,47.94,2880,45.75,-2.5,4.79
7,CH2_P_sto3g,guadalupe,12,2109,2686,45.22,2622,48.13,2.44,-6.06
8,H2O_BK_sto3g,guadalupe,14,1000,2205,24.37,2022,23.44,9.05,3.97
9,H2O_JW_sto3g,guadalupe,14,1000,2074,18.24,2032,17.82,2.07,2.32
10,H2O_P_sto3g,guadalupe,12,1085,1682,13.04,1636,13.42,2.81,-2.85
11,H2_BK_631g,guadalupe,8,84,172,0.2,158,0.18,8.86,11.22
12,H2_BK_sto3g,quito,4,12,22,0.01,23,0.01,-4.35,-14.95
13,H2_JW_631g,guadalupe,8,84,169,0.18,176,0.18,-3.98,-2.6
14,H2_JW_sto3g,quito,4,12,25,0.01,24,0.01,4.17,-2.2
15,H2_P_631g,nairobi,6,158,166,0.19,146,0.17,13.7,11.13
16,H2_P_sto3g,quito,2,4,2,0.0,2,0.0,0.0,-14.89
17,H4_BK_631g,mumbai,16,1440,4093,62.33,3967,68.38,3.18,-8.85
18,H4_BK_sto3g,guadalupe,8,160,280,0.55,304,0.58,-7.89,-5.41
19,H4_JW_631g,mumbai,16,1440,3059,56.34,3404,60.45,-10.14,-6.81
20,H4_JW_sto3g,guadalupe,8,160,290,0.56,290,0.58,0.0,-3.55
21,H4_P_631g,guadalupe,14,2912,4318,100.09,4322,96.12,-0.09,4.12
22,H4_P_sto3g,nairobi,6,164,170,0.14,176,0.16,-3.41,-13.07
23,H8_BK_sto3g,mumbai,16,2688,6104,210.59,5935,206.41,2.85,2.03
24,H8_JW_sto3g,mumbai,16,2688,5383,200.92,5405,206.31,-0.41,-2.61
25,HCl_BK_sto3g,mumbai,20,684,1643,15.06,2053,18.74,-19.97,-19.63
26,HCl_JW_sto3g,mumbai,20,684,1897,16.38,1571,15.63,20.75,4.82
27,LiH_BK_631g,mumbai,22,3240,12954,581.81,12465,551.4,3.92,5.51
28,LiH_BK_sto3g,guadalupe,12,640,1601,11.75,1460,11.83,9.66,-0.67
29,LiH_JW_631g,mumbai,22,3240,7816,310.77,7714,327.23,1.32,-5.03
30,LiH_JW_sto3g,guadalupe,12,640,1147,9.68,1128,9.59,1.68,0.97
31,LiH_P_sto3g,guadalupe,10,630,840,3.91,811,3.67,3.58,6.35
32,N2_JW_sto3g,mumbai,20,4620,9432,541.9,10315,595.19,-8.56,-8.95
33,N2_P_sto3g,mumbai,18,2950,6455,199.21,6580,169.5,-1.9,17.53
34,NH3_BK_sto3g,mumbai,16,2340,5173,165.38,4986,161.95,3.75,2.12
35,NH3_JW_sto3g,mumbai,16,2340,4664,164.43,4347,155.26,7.29,5.9
36,NH3_P_sto3g,guadalupe,14,5792,6480,335.67,6692,356.4,-3.17,-5.81
37,NH_BK_sto3g,guadalupe,12,640,1315,6.41,1190,6.26,10.5,2.38
38,NH_JW_sto3g,guadalupe,12,640,1234,9.28,1341,10.59,-7.98,-12.36
39,NH_P_631g,mumbai,20,6869,11785,826.57,11618,771.85,1.44,7.09
40,NH_P_sto3g,guadalupe,10,630,840,4.37,811,4.0,3.58,9.25
